row_index,tuna_selected_31k_seed20260803_score,tuna_selected_31k_seed20260817_score,tuna_selected_31k_seed20260831_score,tuna_selected_31k_score
0,-2.8104870319366455,-3.2213592529296875,-2.5339789390563965,-2.8552750746409097
1,-1.9350613355636597,-2.6179568767547607,-1.4769113063812256,-2.0099765062332153
2,-4.96823787689209,-5.310183048248291,-4.163918972015381,-4.814113299051921
3,-5.594602108001709,-6.335086822509766,-5.330834865570068,-5.753507932027181
4,-7.093592643737793,-5.409880638122559,-6.408473014831543,-6.303982098897298
5,-6.86854362487793,-7.081421375274658,-7.754541397094727,-7.2348354657491045
6,-6.7368950843811035,-6.037927627563477,-7.448973655700684,-6.741265455881755
7,-6.5225677490234375,-8.005280494689941,-7.238344669342041,-7.25539763768514
8,-6.3965678215026855,-6.641569137573242,-6.861458778381348,-6.633198579152425
9,-5.1957831382751465,-6.127498149871826,-5.391656875610352,-5.571646054585774
10,-4.995549201965332,-4.961085796356201,-4.173858642578125,-4.710164546966553
11,-6.221075534820557,-6.919027328491211,-6.694279670715332,-6.6114608446757
12,-5.342221736907959,-6.865185260772705,-6.517362594604492,-6.241589864095052
13,-4.767095565795898,-4.204014778137207,-5.152309894561768,-4.707806746164958
14,-6.875484943389893,-7.350400447845459,-6.382614612579346,-6.8695000012715655
15,-2.5702004432678223,-3.2681190967559814,-2.6999459266662598,-2.846088488896688
16,-4.606387138366699,-6.102917194366455,-5.12391996383667,-5.277741432189941
17,-5.349384307861328,-5.724780559539795,-6.304167747497559,-5.7927775382995605
18,-5.448204517364502,-5.495520114898682,-5.796427249908447,-5.580050627390544
19,-6.887818336486816,-5.7209296226501465,-5.264521598815918,-5.957756519317627
20,-4.417924880981445,-5.6365556716918945,-4.5418291091918945,-4.865436553955078
21,-5.789417743682861,-5.5063371658325195,-5.038996696472168,-5.44491720199585
22,-4.624510288238525,-6.481355667114258,-4.0403032302856445,-5.048723061879476
23,-5.098926544189453,-5.073972702026367,-4.094193935394287,-4.755697727203369
24,-5.4873151779174805,-6.351166725158691,-5.954939842224121,-5.931140581766765
25,-4.831471920013428,-5.245355606079102,-5.205896854400635,-5.094241460164388
26,-6.519288063049316,-7.481047630310059,-6.10066556930542,-6.700333754221599
27,-5.784482002258301,-6.192427635192871,-6.441493988037109,-6.139467875162761
28,-3.1588633060455322,-2.882913827896118,-3.362309694290161,-3.134695609410604
29,-5.124035358428955,-6.3051228523254395,-5.60467004776001,-5.677942752838135
30,-7.533186435699463,-8.064895629882812,-8.29375171661377,-7.963944594065349
31,-5.715466022491455,-5.125586986541748,-4.393863677978516,-5.078305562337239
32,-5.658333778381348,-7.9538960456848145,-6.403777122497559,-6.67200231552124
33,-1.9822250604629517,-1.711920142173767,-2.115776538848877,-1.9366405804951985
34,-5.617903232574463,-5.074349880218506,-4.3079400062561035,-5.000064373016357
35,-6.485827445983887,-4.997034072875977,-6.268984794616699,-5.9172821044921875
36,-5.969192981719971,-5.736965179443359,-4.693752288818359,-5.4666368166605634
37,-3.2995429039001465,-4.142114639282227,-2.747709035873413,-3.3964555263519287
38,-3.8880562782287598,-3.661804676055908,-3.48811674118042,-3.679325898488363
39,-4.719478130340576,-6.021884918212891,-4.177638530731201,-4.973000526428223
40,-6.377701759338379,-6.040776252746582,-5.16886568069458,-5.862447897593181
41,-6.816558837890625,-5.446054458618164,-5.1236348152160645,-5.795416037241618
42,-5.955137252807617,-7.6061835289001465,-6.948583602905273,-6.836634794871013
43,-4.361262321472168,-5.063366889953613,-3.858254909515381,-4.427628040313721
44,-6.061862945556641,-6.379727363586426,-6.239975452423096,-6.227188587188721
45,-5.339456558227539,-5.745831489562988,-4.35304594039917,-5.1461113293965655
46,-6.013493537902832,-6.501697540283203,-5.631840705871582,-6.049010594685872
47,-5.102560997009277,-6.421624660491943,-4.834761142730713,-5.452982266743978
48,-6.388708114624023,-6.459881782531738,-6.849253177642822,-6.565947691599528
49,-6.485493183135986,-6.876631259918213,-7.453887939453125,-6.938670794169108
50,-7.66910982131958,-5.970433235168457,-7.036352634429932,-6.891965230305989
51,-6.37933874130249,-6.969388961791992,-7.905624866485596,-7.084784189860026
52,-7.2028913497924805,-6.309078216552734,-6.660383701324463,-6.724117755889893
53,-6.033723831176758,-4.359583377838135,-5.5132951736450195,-5.302200794219971
54,-4.36453104019165,-5.453143119812012,-5.3902058601379395,-5.0692933400472
55,-2.3660268783569336,-3.8138136863708496,-4.26750373840332,-3.482448101043701
56,-4.849262237548828,-6.282598972320557,-5.6486077308654785,-5.593489646911621
57,-5.326201438903809,-6.057110786437988,-4.737130641937256,-5.3734809557596845
58,-5.924767971038818,-6.440239429473877,-6.174951553344727,-6.179986317952474
59,-4.675064563751221,-4.711673736572266,-4.092601776123047,-4.493113358815511
60,-2.0736606121063232,-3.1175789833068848,-1.8844548463821411,-2.358564813931783
61,-6.3604350090026855,-7.184823036193848,-6.804692268371582,-6.783316771189372
62,-6.610081672668457,-6.5944623947143555,-6.4729180335998535,-6.559154033660889
63,-4.248543739318848,-5.544066905975342,-4.448210716247559,-4.746940453847249
64,-2.944314956665039,-4.18526029586792,-3.20290207862854,-3.4441591103871665
65,-5.194591999053955,-6.363282203674316,-2.7053143978118896,-4.754396200180054
66,-6.5322346687316895,-7.311400890350342,-6.187869548797607,-6.677168369293213
67,-2.5221965312957764,-4.305943489074707,-4.223291873931885,-3.6838106314341226
68,-5.410648345947266,-6.848544120788574,-6.208193302154541,-6.155795256296794
69,-4.145914077758789,-4.855380535125732,-4.439712047576904,-4.480335553487142
70,-4.348647594451904,-3.9739930629730225,-4.270303726196289,-4.197648127873738
71,-6.49266242980957,-6.817655086517334,-5.516174793243408,-6.2754974365234375
72,-4.406564712524414,-5.313037395477295,-4.630118370056152,-4.78324015935262
73,-4.355926513671875,-3.4484686851501465,-3.8354380130767822,-3.879944403966268
74,-5.773277282714844,-5.503762245178223,-6.690678596496582,-5.98923937479655
75,-5.242035865783691,-4.019988536834717,-5.0739006996154785,-4.778641700744629
76,-5.585920810699463,-6.1947550773620605,-4.705898284912109,-5.495524724324544
