panel,analysis,model,model_id,condition,dataset,metric,estimate,CI_low,CI_high,source_file,source_key,cell,positive_pairs,sampled_unlabeled_pairs,interval_source_key,interval_note
a,development,3-mer interolog,exact_training_interolog_3mer,C3,Development,concordance,0.635701358715407,0.52574934264821,0.754754284382531,artifacts/results/development_evaluation/development_embedding_identity_correction_v2/PRIMARY_METRICS.json,cells/C3_development/metrics/exact_training_interolog_3mer,C3_development,2265,1000000,cells/C3_development/bootstrap_percentile_95_for_controls_and_ensembles/exact_training_interolog_3mer,
a,development,iPIN affine,lightweight_esm2_150m_linear__linear_lr3e-4,C3,Development,concordance,0.784142246349548,0.742820138368981,0.852716268998339,artifacts/results/development_evaluation/development_embedding_identity_correction_v2/PRIMARY_METRICS.json,cells/C3_development/metrics/lightweight_esm2_150m_linear__linear_lr3e-4,C3_development,2265,1000000,cells/C3_development/bootstrap_percentile_95_for_controls_and_ensembles/lightweight_esm2_150m_linear__linear_lr3e-4,
a,development,Length ratio,sequence_length_ratio,C3,Development,concordance,0.660880051210251,0.566995109386383,0.742349922980613,artifacts/results/development_evaluation/development_embedding_identity_correction_v2/PRIMARY_METRICS.json,cells/C3_development/metrics/sequence_length_ratio,C3_development,2265,1000000,cells/C3_development/bootstrap_percentile_95_for_controls_and_ensembles/sequence_length_ratio,
a,development,Length sum,sequence_length_sum,C3,Development,concordance,0.520453676380442,0.418265025838929,0.577579047494639,artifacts/results/development_evaluation/development_embedding_identity_correction_v2/PRIMARY_METRICS.json,cells/C3_development/metrics/sequence_length_sum,C3_development,2265,1000000,cells/C3_development/bootstrap_percentile_95_for_controls_and_ensembles/sequence_length_sum,
a,development,3-mer cosine,within_pair_3mer_cosine,C3,Development,concordance,0.644682637522745,0.498093897064776,0.726462585107981,artifacts/results/development_evaluation/development_embedding_identity_correction_v2/PRIMARY_METRICS.json,cells/C3_development/metrics/within_pair_3mer_cosine,C3_development,2265,1000000,cells/C3_development/bootstrap_percentile_95_for_controls_and_ensembles/within_pair_3mer_cosine,
a,original,Composition cosine,aac_cosine,C3,Original protected test,concordance,0.414414033210797,0.346767653018036,0.529060894173444,artifacts/results/protected_final_test_v1/FINAL_TEST_RESULTS.json,cells/C3_test/metrics/aac_cosine,C3_test,2379,1000000,cells/C3_test/metrics/aac_cosine/percentile_95,
a,original,3-mer interolog,exact_training_interolog_3mer,C3,Original protected test,concordance,0.4840370870156,0.425705847375941,0.574571322680515,artifacts/results/protected_final_test_v1/FINAL_TEST_RESULTS.json,cells/C3_test/metrics/exact_training_interolog_3mer,C3_test,2379,1000000,cells/C3_test/metrics/exact_training_interolog_3mer/percentile_95,
a,original,iPIN affine,lightweight_esm2_150m_linear__linear_lr3e-4,C3,Original protected test,concordance,0.789248765871385,0.7081575143063,0.845726808906893,artifacts/results/protected_final_test_v1/FINAL_TEST_RESULTS.json,cells/C3_test/metrics/lightweight_esm2_150m_linear__linear_lr3e-4,C3_test,2379,1000000,cells/C3_test/metrics/lightweight_esm2_150m_linear__linear_lr3e-4/percentile_95,
a,original,ESM cosine,pooled_150m_cosine,C3,Original protected test,concordance,0.494045372008738,0.430611573924433,0.603313148736377,artifacts/results/protected_final_test_v1/FINAL_TEST_RESULTS.json,cells/C3_test/metrics/pooled_150m_cosine,C3_test,2379,1000000,cells/C3_test/metrics/pooled_150m_cosine/percentile_95,
a,original,Length ratio,sequence_length_ratio,C3,Original protected test,concordance,0.549302008411695,0.484382325320128,0.60667699576789,artifacts/results/protected_final_test_v1/FINAL_TEST_RESULTS.json,cells/C3_test/metrics/sequence_length_ratio,C3_test,2379,1000000,cells/C3_test/metrics/sequence_length_ratio/percentile_95,
a,original,Length sum,sequence_length_sum,C3,Original protected test,concordance,0.327235245904657,0.250421090770916,0.448694394866203,artifacts/results/protected_final_test_v1/FINAL_TEST_RESULTS.json,cells/C3_test/metrics/sequence_length_sum,C3_test,2379,1000000,cells/C3_test/metrics/sequence_length_sum/percentile_95,
a,original,3-mer cosine,within_pair_3mer_cosine,C3,Original protected test,concordance,0.493969620221909,0.413881742245338,0.565829247390411,artifacts/results/protected_final_test_v1/FINAL_TEST_RESULTS.json,cells/C3_test/metrics/within_pair_3mer_cosine,C3_test,2379,1000000,cells/C3_test/metrics/within_pair_3mer_cosine/percentile_95,
a,followup,iPIN optimized,esm2_150m__residual_wide__epoch04_ensemble3,C3,Protected follow-up,concordance,0.807947880625663,0.740479526529126,0.852012727559151,artifacts/results/model_optimization_followup_v1/FOLLOWUP_TEST_RESULTS.json,cells/C3_test/metrics/esm2_150m__residual_wide__epoch04_ensemble3,C3_test,2379,1000000,cells/C3_test/metrics/esm2_150m__residual_wide__epoch04_ensemble3/percentile_95,
a,optimization,iPIN optimized,esm2_150m__residual_wide__epoch04_ensemble3,C3,Development,concordance,0.799419003523061,,,artifacts/results/model_optimization_v1/RESULTS.json,development_gate/candidate_concordance,,2265,1000000,,Marginal development interval not reported
