panel,analysis,model,model_id,condition,dataset,metric,estimate,CI_low,CI_high,source_file,source_key,positive_pairs,sampled_unlabeled_pairs,largest_component_endpoints,rank3_component_endpoints,group_concordance,positive_fraction,unlabeled_mass_fraction,total_excess,derivation
a,shift,iPIN affine,lightweight_esm2_150m_linear__linear_lr3e-4,Full C3,Development C3,concordance,0.78414224636394,0.742820138368981,0.852716268998339,artifacts/results/c3_control_shift_investigation_v1/RESULTS.json,development/full_concordance/lightweight_esm2_150m_linear__linear_lr3e-4,2265,1000000,643,61,,,,,
a,shift,iPIN affine,lightweight_esm2_150m_linear__linear_lr3e-4,Exclude largest,Development C3,concordance,0.823112214931128,0.736317719001262,0.860025347862528,artifacts/results/c3_control_shift_investigation_v1/RESULTS.json,development/both_P_and_U_without_largest,1167,559080,643,61,,,,,
a,components,iPIN affine,lightweight_esm2_150m_linear__linear_lr3e-4,Exclude rank 3,Development C3,concordance,0.778008070655457,0.736048683477991,0.81306441822768,artifacts/results/c3_control_shift_investigation_v1/COMPONENT_SUPPLEMENT.json,sensitivities/neither_in_third,1573,952824,643,61,,,,,
a,components,iPIN affine,lightweight_esm2_150m_linear__linear_lr3e-4,Exclude both,Development C3,concordance,0.776617578083106,0.728599859901159,0.82392308416125,artifacts/results/c3_control_shift_investigation_v1/COMPONENT_SUPPLEMENT.json,sensitivities/neither_in_first_or_third,582,524006,643,61,,,,,
a,components,iPIN affine,lightweight_esm2_150m_linear__linear_lr3e-4,Between components,Development C3,concordance,0.740051107461714,0.697785937734884,0.79965531213695,artifacts/results/c3_control_shift_investigation_v1/COMPONENT_SUPPLEMENT.json,sensitivities/between_component,1440,933856,643,61,,,,,
a,shift,3-mer cosine,within_pair_3mer_cosine,Full C3,Development C3,concordance,0.644682637534577,0.498093897064776,0.726462585107981,artifacts/results/c3_control_shift_investigation_v1/RESULTS.json,development/full_concordance/within_pair_3mer_cosine,2265,1000000,643,61,,,,,
a,shift,3-mer cosine,within_pair_3mer_cosine,Exclude largest,Development C3,concordance,0.664687696322779,0.480042420816589,0.742682828058236,artifacts/results/c3_control_shift_investigation_v1/RESULTS.json,development/both_P_and_U_without_largest,1167,559080,643,61,,,,,
a,components,3-mer cosine,within_pair_3mer_cosine,Exclude rank 3,Development C3,concordance,0.605088399539355,0.47787988161519,0.655956757693295,artifacts/results/c3_control_shift_investigation_v1/COMPONENT_SUPPLEMENT.json,sensitivities/neither_in_third,1573,952824,643,61,,,,,
a,components,3-mer cosine,within_pair_3mer_cosine,Exclude both,Development C3,concordance,0.53551791654315,0.460097332274436,0.606911622215072,artifacts/results/c3_control_shift_investigation_v1/COMPONENT_SUPPLEMENT.json,sensitivities/neither_in_first_or_third,582,524006,643,61,,,,,
a,components,3-mer cosine,within_pair_3mer_cosine,Between components,Development C3,concordance,0.534519598711792,0.467170359525965,0.59016130194033,artifacts/results/c3_control_shift_investigation_v1/COMPONENT_SUPPLEMENT.json,sensitivities/between_component,1440,933856,643,61,,,,,
a,shift,3-mer interolog,exact_training_interolog_3mer,Full C3,Development C3,concordance,0.635701358727073,0.52574934264821,0.754754284382531,artifacts/results/c3_control_shift_investigation_v1/RESULTS.json,development/full_concordance/exact_training_interolog_3mer,2265,1000000,643,61,,,,,
a,shift,3-mer interolog,exact_training_interolog_3mer,Exclude largest,Development C3,concordance,0.69571967801725,0.503116021636523,0.766136981987522,artifacts/results/c3_control_shift_investigation_v1/RESULTS.json,development/both_P_and_U_without_largest,1167,559080,643,61,,,,,
a,components,3-mer interolog,exact_training_interolog_3mer,Exclude rank 3,Development C3,concordance,0.567173545620631,0.501576608269988,0.619919919022408,artifacts/results/c3_control_shift_investigation_v1/COMPONENT_SUPPLEMENT.json,sensitivities/neither_in_third,1573,952824,643,61,,,,,
a,components,3-mer interolog,exact_training_interolog_3mer,Exclude both,Development C3,concordance,0.562986328246537,0.482504990336415,0.635071527200047,artifacts/results/c3_control_shift_investigation_v1/COMPONENT_SUPPLEMENT.json,sensitivities/neither_in_first_or_third,582,524006,643,61,,,,,
a,components,3-mer interolog,exact_training_interolog_3mer,Between components,Development C3,concordance,0.592286061991238,0.517060953529527,0.666862109472658,artifacts/results/c3_control_shift_investigation_v1/COMPONENT_SUPPLEMENT.json,sensitivities/between_component,1440,933856,643,61,,,,,
a,shift,Length ratio,sequence_length_ratio,Full C3,Development C3,concordance,0.660880051222382,0.566995109386383,0.742349922980613,artifacts/results/c3_control_shift_investigation_v1/RESULTS.json,development/full_concordance/sequence_length_ratio,2265,1000000,643,61,,,,,
a,shift,Length ratio,sequence_length_ratio,Exclude largest,Development C3,concordance,0.692718514825802,0.551859976377859,0.753845873614156,artifacts/results/c3_control_shift_investigation_v1/RESULTS.json,development/both_P_and_U_without_largest,1167,559080,643,61,,,,,
a,components,Length ratio,sequence_length_ratio,Exclude rank 3,Development C3,concordance,0.618481522778292,0.557139147016811,0.65463270379598,artifacts/results/c3_control_shift_investigation_v1/COMPONENT_SUPPLEMENT.json,sensitivities/neither_in_third,1573,952824,643,61,,,,,
a,components,Length ratio,sequence_length_ratio,Exclude both,Development C3,concordance,0.592513870119399,0.540481072468714,0.641064007669542,artifacts/results/c3_control_shift_investigation_v1/COMPONENT_SUPPLEMENT.json,sensitivities/neither_in_first_or_third,582,524006,643,61,,,,,
a,components,Length ratio,sequence_length_ratio,Between components,Development C3,concordance,0.59542799521748,0.52905691147036,0.651369333332631,artifacts/results/c3_control_shift_investigation_v1/COMPONENT_SUPPLEMENT.json,sensitivities/between_component,1440,933856,643,61,,,,,
b,components,3-mer cosine,within_pair_3mer_cosine,within_component,Development C3,contribution_to_excess_concordance,0.136049012142899,,,artifacts/results/c3_control_shift_investigation_v1/COMPONENT_SUPPLEMENT.json,groups/within_component,825,66144,643,61,0.873516378792322,0.364238410596026,0.066144,0.144682637534577,positive_fraction * (group_concordance - 0.5)
b,components,3-mer cosine,within_pair_3mer_cosine,between_component,Development C3,contribution_to_excess_concordance,0.00863362539167884,,,artifacts/results/c3_control_shift_investigation_v1/COMPONENT_SUPPLEMENT.json,groups/between_component,1440,933856,643,61,0.513579973272328,0.635761589403974,0.933856,0.144682637534577,positive_fraction * (group_concordance - 0.5)
b,components,3-mer interolog,exact_training_interolog_3mer,touching_third,Development C3,contribution_to_excess_concordance,0.0951174174409545,,,artifacts/results/c3_control_shift_investigation_v1/COMPONENT_SUPPLEMENT.json,all_positive_participating_component_influences/[endpoint_size_rank=3],692,47176,643,61,0.811330853329136,0.30551876379691,0.047176,0.135701358727073,positive_fraction * (group_concordance - 0.5)
