panel,analysis,model,model_id,condition,dataset,metric,estimate,CI_low,CI_high,source_file,source_key,anchors,interval_source_file,interval_source_key,pair_concordance,unary_concordance,quartets,valid_bootstrap_replicates
a,partner,pair_linear,pair_linear,Original internal panel,Public-training cross-validation,equal_anchor_concordance,0.663611948566272,0.652629673055744,0.695832911084498,artifacts/results/within_anchor_partner_specificity_v1/RESULTS.json,macro_concordance/pair_linear,3072,,,,,,
a,partner,endpoint_linear,endpoint_linear,Original internal panel,Public-training cross-validation,equal_anchor_concordance,0.584203398659753,0.565443251792941,0.605411037171279,artifacts/results/within_anchor_partner_specificity_v1/RESULTS.json,macro_concordance/endpoint_linear,3072,artifacts/results/homology_source_challenge_v1/RESULTS.json,arms/union/model_intervals/endpoint_linear/ci95,,,,
a,partner,endpoint_mlp64,endpoint_mlp64,Original internal panel,Public-training cross-validation,equal_anchor_concordance,0.557893726860341,0.536152274778209,0.578677604130099,artifacts/results/within_anchor_partner_specificity_v1/RESULTS.json,macro_concordance/endpoint_mlp64,3072,,,,,,
a,partner,kmer3_cosine,kmer3_cosine,Original internal panel,Public-training cross-validation,equal_anchor_concordance,0.547135822784757,,,artifacts/results/within_anchor_partner_specificity_v1/RESULTS.json,macro_concordance/kmer3_cosine,3072,,,,,,
a,partner,pooled_cosine,pooled_cosine,Original internal panel,Public-training cross-validation,equal_anchor_concordance,0.550293014187541,,,artifacts/results/within_anchor_partner_specificity_v1/RESULTS.json,macro_concordance/pooled_cosine,3072,,,,,,
a,partner,length_ratio,length_ratio,Original internal panel,Public-training cross-validation,equal_anchor_concordance,0.542660028236542,,,artifacts/results/within_anchor_partner_specificity_v1/RESULTS.json,macro_concordance/length_ratio,3072,,,,,,
a_difference,partner,pair_linear − endpoint_mlp64,pair_linear − endpoint_mlp64,Original internal panel,Public-training cross-validation,paired_difference,0.105718221705931,0.0937291215774881,0.139638706758557,artifacts/results/within_anchor_partner_specificity_v1/RESULTS.json,primary_delta,3072,,,,,,
b,homology,pair_linear − endpoint_linear,pair_linear − endpoint_linear,hi_to_huri,Public-training cross-validation,paired_difference,0.0476876457641426,0.0321031349446415,0.0894565908492739,artifacts/results/homology_source_challenge_v1/RESULTS.json,arms/hi_to_huri/deltas/endpoint_linear,2657,,,0.593448620238268,0.545760974474125,,
c,homology,pair_linear,pair_linear,hi_to_huri,Public-training cross-validation,quartet_preference,0.662538699690402,0.604438860971524,0.734626858494761,artifacts/results/homology_source_challenge_v1/RESULTS.json,arms/hi_to_huri/quartet,,,,,,3876,2000
b,homology,pair_linear − endpoint_linear,pair_linear − endpoint_linear,huri_to_hi,Public-training cross-validation,paired_difference,0.0398120397020538,0.0156018488426732,0.0874615315859514,artifacts/results/homology_source_challenge_v1/RESULTS.json,arms/huri_to_hi/deltas/endpoint_linear,716,,,0.623196203917218,0.583384164215164,,
c,homology,pair_linear,pair_linear,huri_to_hi,Public-training cross-validation,quartet_preference,0.560606060606061,0.158667502088555,0.952464008859358,artifacts/results/homology_source_challenge_v1/RESULTS.json,arms/huri_to_hi/quartet,,,,,,66,1998
b,homology,pair_linear − endpoint_linear,pair_linear − endpoint_linear,purged20,Public-training cross-validation,paired_difference,0.0734895006799992,0.0643692538041338,0.107006768250433,artifacts/results/homology_source_challenge_v1/RESULTS.json,arms/purged20/deltas/endpoint_linear,3072,,,0.657382027358205,0.583892526678206,,
c,homology,pair_linear,pair_linear,purged20,Public-training cross-validation,quartet_preference,0.725166666666667,0.678886286940657,0.779693546191702,artifacts/results/homology_source_challenge_v1/RESULTS.json,arms/purged20/quartet,,,,,,6000,2000
b,homology,pair_linear − endpoint_linear,pair_linear − endpoint_linear,union,Public-training cross-validation,paired_difference,0.0794085499065196,0.0708386415168095,0.109922394541495,artifacts/results/homology_source_challenge_v1/RESULTS.json,arms/union/deltas/endpoint_linear,3072,,,0.663611948566272,0.584203398659753,,
c,homology,pair_linear,pair_linear,union,Public-training cross-validation,quartet_preference,0.727833333333333,0.680154491739733,0.782975961265627,artifacts/results/homology_source_challenge_v1/RESULTS.json,arms/union/quartet,,,,,,6000,2000
