panel,analysis,model,model_id,condition,dataset,metric,estimate,CI_low,CI_high,source_file,source_key,parameters,encoder,recipe,seed,epoch,stage,selected,baseline_concordance,candidate_concordance
a,optimization,esm2_150m__linear_slow,esm2_150m__linear_slow,linear,Development C3,concordance,0.78135512604023,,,artifacts/results/model_optimization_v1/RESULTS.json,all_evaluations/0,1922,esm2_150m,linear_slow,20260803,3,1,,,
a,optimization,esm2_150m__linear_base_lr,esm2_150m__linear_base_lr,linear,Development C3,concordance,0.790170064450737,,,artifacts/results/model_optimization_v1/RESULTS.json,all_evaluations/1,1922,esm2_150m,linear_base_lr,20260803,3,1,,,
a,optimization,esm2_150m__linear_fast,esm2_150m__linear_fast,linear,Development C3,concordance,0.776880830235115,,,artifacts/results/model_optimization_v1/RESULTS.json,all_evaluations/2,1922,esm2_150m,linear_fast,20260803,3,1,,,
a,optimization,esm2_150m__linear_regularized,esm2_150m__linear_regularized,linear,Development C3,concordance,0.777551533325593,,,artifacts/results/model_optimization_v1/RESULTS.json,all_evaluations/3,1922,esm2_150m,linear_regularized,20260803,3,1,,,
a,optimization,esm2_150m__mlp_small,esm2_150m__mlp_small,mlp,Development C3,concordance,0.789733050764142,,,artifacts/results/model_optimization_v1/RESULTS.json,all_evaluations/4,126915,esm2_150m,mlp_small,20260803,3,1,,,
a,optimization,esm2_150m__mlp_wide,esm2_150m__mlp_wide,mlp,Development C3,concordance,0.802129926481325,,,artifacts/results/model_optimization_v1/RESULTS.json,all_evaluations/5,496131,esm2_150m,mlp_wide,20260803,3,1,,,
a,optimization,esm2_150m__mlp_fast,esm2_150m__mlp_fast,mlp,Development C3,concordance,0.752701352973056,,,artifacts/results/model_optimization_v1/RESULTS.json,all_evaluations/6,249987,esm2_150m,mlp_fast,20260803,3,1,,,
a,optimization,esm2_150m__residual_small,esm2_150m__residual_small,residual_mlp,Development C3,concordance,0.776136166879617,,,artifacts/results/model_optimization_v1/RESULTS.json,all_evaluations/7,128837,esm2_150m,residual_small,20260803,3,1,,,
a,optimization,esm2_150m__residual_wide,esm2_150m__residual_wide,residual_mlp,Development C3,concordance,0.805183292043904,,,artifacts/results/model_optimization_v1/RESULTS.json,all_evaluations/8,498053,esm2_150m,residual_wide,20260803,3,1,,,
a,optimization,esm2_150m__residual_fast,esm2_150m__residual_fast,residual_mlp,Development C3,concordance,0.739650627366239,,,artifacts/results/model_optimization_v1/RESULTS.json,all_evaluations/9,251909,esm2_150m,residual_fast,20260803,3,1,,,
a,optimization,esm2_150m__bilinear_small,esm2_150m__bilinear_small,bilinear,Development C3,concordance,0.784457466437646,,,artifacts/results/model_optimization_v1/RESULTS.json,all_evaluations/10,22434,esm2_150m,bilinear_small,20260803,3,1,,,
a,optimization,esm2_150m__bilinear_wide,esm2_150m__bilinear_wide,bilinear,Development C3,concordance,0.753368527365621,,,artifacts/results/model_optimization_v1/RESULTS.json,all_evaluations/11,83970,esm2_150m,bilinear_wide,20260803,3,1,,,
a,optimization,esm2_650m__linear_slow,esm2_650m__linear_slow,linear,Development C3,concordance,0.778674763347048,,,artifacts/results/model_optimization_v1/RESULTS.json,all_evaluations/12,3842,esm2_650m,linear_slow,20260803,3,1,,,
a,optimization,esm2_650m__linear_base_lr,esm2_650m__linear_base_lr,linear,Development C3,concordance,0.782718077033768,,,artifacts/results/model_optimization_v1/RESULTS.json,all_evaluations/13,3842,esm2_650m,linear_base_lr,20260803,3,1,,,
a,optimization,esm2_650m__linear_fast,esm2_650m__linear_fast,linear,Development C3,concordance,0.779094693590101,,,artifacts/results/model_optimization_v1/RESULTS.json,all_evaluations/14,3842,esm2_650m,linear_fast,20260803,3,1,,,
a,optimization,esm2_650m__linear_regularized,esm2_650m__linear_regularized,linear,Development C3,concordance,0.77917831787266,,,artifacts/results/model_optimization_v1/RESULTS.json,all_evaluations/15,3842,esm2_650m,linear_regularized,20260803,3,1,,,
a,optimization,esm2_650m__mlp_small,esm2_650m__mlp_small,mlp,Development C3,concordance,0.791346580344693,,,artifacts/results/model_optimization_v1/RESULTS.json,all_evaluations/16,253635,esm2_650m,mlp_small,20260803,3,1,,,
a,optimization,esm2_650m__mlp_wide,esm2_650m__mlp_wide,mlp,Development C3,concordance,0.779215956724568,,,artifacts/results/model_optimization_v1/RESULTS.json,all_evaluations/17,991491,esm2_650m,mlp_wide,20260803,3,1,,,
a,optimization,esm2_650m__mlp_fast,esm2_650m__mlp_fast,mlp,Development C3,concordance,0.734733356063692,,,artifacts/results/model_optimization_v1/RESULTS.json,all_evaluations/18,499587,esm2_650m,mlp_fast,20260803,3,1,,,
a,optimization,esm2_650m__residual_small,esm2_650m__residual_small,residual_mlp,Development C3,concordance,0.763949013457874,,,artifacts/results/model_optimization_v1/RESULTS.json,all_evaluations/19,257477,esm2_650m,residual_small,20260803,3,1,,,
a,optimization,esm2_650m__residual_wide,esm2_650m__residual_wide,residual_mlp,Development C3,concordance,0.781031646349023,,,artifacts/results/model_optimization_v1/RESULTS.json,all_evaluations/20,995333,esm2_650m,residual_wide,20260803,3,1,,,
a,optimization,esm2_650m__residual_fast,esm2_650m__residual_fast,residual_mlp,Development C3,concordance,0.753786870191224,,,artifacts/results/model_optimization_v1/RESULTS.json,all_evaluations/21,503429,esm2_650m,residual_fast,20260803,3,1,,,
a,optimization,esm2_650m__bilinear_small,esm2_650m__bilinear_small,bilinear,Development C3,concordance,0.7617376732818,,,artifacts/results/model_optimization_v1/RESULTS.json,all_evaluations/22,44834,esm2_650m,bilinear_small,20260803,3,1,,,
a,optimization,esm2_650m__bilinear_wide,esm2_650m__bilinear_wide,bilinear,Development C3,concordance,0.743030332001273,,,artifacts/results/model_optimization_v1/RESULTS.json,all_evaluations/23,167810,esm2_650m,bilinear_wide,20260803,3,1,,,
