snapshot,source_key,value
source_membership.json,counts/1,1970.0
source_membership.json,counts/2,13547.0
source_membership.json,counts/3,1282.0
homology_edges.json,counts/20/cross_fit_evaluation_after_purge/0,0.0
homology_edges.json,counts/20/cross_fit_evaluation_after_purge/1,0.0
homology_edges.json,counts/20/cross_fit_evaluation_after_purge/2,0.0
homology_edges.json,counts/20/cross_fit_evaluation_per_fold/0,5861.0
homology_edges.json,counts/20/cross_fit_evaluation_per_fold/1,4565.0
homology_edges.json,counts/20/cross_fit_evaluation_per_fold/2,5260.0
homology_edges.json,counts/20/cross_original_components,11085.0
homology_edges.json,counts/20/cross_original_folds,7843.0
homology_edges.json,counts/20/undirected_edges,171433.0
homology_edges.json,counts/30/cross_fit_evaluation_after_purge/0,0.0
homology_edges.json,counts/30/cross_fit_evaluation_after_purge/1,0.0
homology_edges.json,counts/30/cross_fit_evaluation_after_purge/2,0.0
homology_edges.json,counts/30/cross_fit_evaluation_per_fold/0,263.0
homology_edges.json,counts/30/cross_fit_evaluation_per_fold/1,194.0
homology_edges.json,counts/30/cross_fit_evaluation_per_fold/2,231.0
homology_edges.json,counts/30/cross_original_components,507.0
homology_edges.json,counts/30/cross_original_folds,344.0
homology_edges.json,counts/30/undirected_edges,77646.0
homology_edges.json,counts/40/cross_fit_evaluation_after_purge/0,0.0
homology_edges.json,counts/40/cross_fit_evaluation_after_purge/1,0.0
homology_edges.json,counts/40/cross_fit_evaluation_after_purge/2,0.0
homology_edges.json,counts/40/cross_fit_evaluation_per_fold/0,5.0
homology_edges.json,counts/40/cross_fit_evaluation_per_fold/1,7.0
homology_edges.json,counts/40/cross_fit_evaluation_per_fold/2,6.0
homology_edges.json,counts/40/cross_original_components,9.0
homology_edges.json,counts/40/cross_original_folds,9.0
homology_edges.json,counts/40/undirected_edges,28430.0
negative.json,metrics/intact_negative_records,939.0
negative.json,metrics/intact_negative_reference_pair_usable_records,453.0
negative.json,metrics/label_authorized_rows,0.0
negative.json,metrics/mapped_parent_records_by_family/manual_experimental_negative,1408.0
negative.json,metrics/mapped_parent_records_by_family/structure_derived_noncontact,222.0
negative.json,metrics/overlap/cross_source_link_count,0.0
negative.json,metrics/overlap/exact_ordered_source_links,0.0
negative.json,metrics/overlap/exact_unordered_source_links,0.0
negative.json,metrics/overlap/frozen_sequence_pair_links,0.0
negative.json,metrics/overlap/intact_negative_records_with_overlap,0.0
negative.json,metrics/overlap/negatome_parent_records_with_overlap,0.0
negative.json,metrics/parent_pair_mapping_states/both_unique_human,1630.0
negative.json,metrics/parent_pair_mapping_states/neither_unique_human,4453.0
negative.json,metrics/parent_pair_mapping_states/one_unique_human,485.0
negative.json,metrics/parent_record_total,6568.0
negative.json,metrics/parent_records_by_family/manual_experimental_negative,2171.0
negative.json,metrics/parent_records_by_family/structure_derived_noncontact,4397.0
negative.json,metrics/participant_mapping_confidences/A_exact_frozen_identifier,3704.0
negative.json,metrics/participant_mapping_confidences/B_unique_frozen_secondary_accession,32.0
negative.json,metrics/participant_mapping_confidences/C_canonical_isoform1_alias,9.0
