source_file,sha256,relevant_symbols,inspection
src/ipin_openppi/stage1/embeddings.py,7d03572fa3d7d8c6b86fb8652b2b866f27f266b6cec4c2695e237aa796bb264f,window_starts; extract_candidate; standardize,read-only implementation inspection; no execution
src/ipin_openppi/stage1/models.py,653340c6aa7caa21672f855fec6b0562857984560b49b20a2e37a4c9579ede28,exact_cosine; commutative_features; LinearPairHead,read-only implementation inspection; no execution
src/ipin_openppi/model_optimization/models.py,90574feb103458cf56ae6ddf7b2800bb53b7a97314353d7cc620995496a0ca59,features; PairHead,read-only implementation inspection; no execution
src/ipin_openppi/model_optimization/run.py,1a4944edee2a55f20b110df36f074ce9ea4d0d83a4c900eee0b894e3eaf8a640,train_run; run,read-only implementation inspection; no execution
src/ipin_openppi/stage1/training.py,4000f8e5fab939e90f84d28a5343076d0d6b5b0e1e4f084669a259ac9bc6b0ee,weighted_pairwise_logistic_loss,read-only implementation inspection; no execution
src/ipin_openppi/stage1/baselines.py,26786946de618b82ea4f7e4ad821f5ee6cbd8123bce978365f794cb0912552b7,degree_sum_score; length_ratio_score; kmer3_counts; exact_interolog_score,read-only implementation inspection; no execution
src/ipin_openppi/development_evaluation/semantics.py,5e63276dbb769659dcb3ca636f0022c485a05bd82f5fc6855ee6aa5b2ee7bd00,weighted_pairwise_concordance; pair_component_multipliers,read-only implementation inspection; no execution
src/ipin_openppi/partner_specificity/semantics.py,3ddc3135ad9913ffed7718cc11f5164690c6e0c19ecfdcc82cc867f0cf870149,anchor_points; bootstrap_anchor_totals; quartet_credit,read-only implementation inspection; no execution
src/ipin_openppi/partner_specificity/models.py,a3b024fe8ecfd2a82dfd2ad489d68f5a3b424b2afe0dfcec679db9a0275448a6,EndpointHead,read-only implementation inspection; no execution
src/ipin_openppi/homology_source/semantics.py,c94da05665a0ffd469048143153de53bff43ee3b5e7a3d92e1ade8af9861211c,alignment_scores; fit_rows; exhaustive_transfer_numpy,read-only implementation inspection; no execution
scripts/benchmark/protected_final_core_v1.py,4e981489816d00d9f6c6a717b9202eb0e532c8ed8278127d2b6af35fb4c30ca5,score_all; evaluate,read-only implementation inspection; no execution
scripts/benchmark/model_optimization_followup_core_v1.py,425256ef308b0ffd0fe653503cc0e5d923c41bee558d7208f91510bd88793a0f,score_all; evaluate,read-only implementation inspection; no execution
