panel,analysis,model,model_id,condition,dataset,metric,estimate,CI_low,CI_high,source_file,source_key,cell,positive_pairs,sampled_unlabeled_pairs,interval_source_key
,development,Component degree mass,component_degree_mass_product,C1,Development,concordance,0.695018732164781,0.642472723098757,0.823299547727554,artifacts/results/development_evaluation/development_embedding_identity_correction_v2/PRIMARY_METRICS.json,cells/C1_development/metrics/component_degree_mass_product,C1_development,3259,1000000,cells/C1_development/bootstrap_percentile_95_for_controls_and_ensembles/component_degree_mass_product
,development,Hash sentinel,deterministic_hash,C1,Development,concordance,0.493246893796845,0.47615909572284,0.50949072887401,artifacts/results/development_evaluation/development_embedding_identity_correction_v2/PRIMARY_METRICS.json,cells/C1_development/metrics/deterministic_hash,C1_development,3259,1000000,cells/C1_development/bootstrap_percentile_95_for_controls_and_ensembles/deterministic_hash
,development,3-mer interolog,exact_training_interolog_3mer,C1,Development,concordance,0.62092141471567,0.57613626408769,0.654348689344673,artifacts/results/development_evaluation/development_embedding_identity_correction_v2/PRIMARY_METRICS.json,cells/C1_development/metrics/exact_training_interolog_3mer,C1_development,3259,1000000,cells/C1_development/bootstrap_percentile_95_for_controls_and_ensembles/exact_training_interolog_3mer
,development,iPIN affine,lightweight_esm2_150m_linear__linear_lr3e-4,C1,Development,concordance,0.848565068761454,0.832324518717391,0.866204079259807,artifacts/results/development_evaluation/development_embedding_identity_correction_v2/PRIMARY_METRICS.json,cells/C1_development/metrics/lightweight_esm2_150m_linear__linear_lr3e-4,C1_development,3259,1000000,cells/C1_development/bootstrap_percentile_95_for_controls_and_ensembles/lightweight_esm2_150m_linear__linear_lr3e-4
,development,Preferential attachment,preferential_attachment,C1,Development,concordance,0.906942397596992,0.89473182781589,0.916496088027114,artifacts/results/development_evaluation/development_embedding_identity_correction_v2/PRIMARY_METRICS.json,cells/C1_development/metrics/preferential_attachment,C1_development,3259,1000000,cells/C1_development/bootstrap_percentile_95_for_controls_and_ensembles/preferential_attachment
,development,Length ratio,sequence_length_ratio,C1,Development,concordance,0.552607999128964,0.529895859040537,0.582128049099392,artifacts/results/development_evaluation/development_embedding_identity_correction_v2/PRIMARY_METRICS.json,cells/C1_development/metrics/sequence_length_ratio,C1_development,3259,1000000,cells/C1_development/bootstrap_percentile_95_for_controls_and_ensembles/sequence_length_ratio
,development,Length sum,sequence_length_sum,C1,Development,concordance,0.459942424513641,0.42203530503591,0.495462961500117,artifacts/results/development_evaluation/development_embedding_identity_correction_v2/PRIMARY_METRICS.json,cells/C1_development/metrics/sequence_length_sum,C1_development,3259,1000000,cells/C1_development/bootstrap_percentile_95_for_controls_and_ensembles/sequence_length_sum
,development,Common neighbors,training_common_neighbors,C1,Development,concordance,0.681017591777687,0.659085225374683,0.704780624316779,artifacts/results/development_evaluation/development_embedding_identity_correction_v2/PRIMARY_METRICS.json,cells/C1_development/metrics/training_common_neighbors,C1_development,3259,1000000,cells/C1_development/bootstrap_percentile_95_for_controls_and_ensembles/training_common_neighbors
,development,Degree sum,training_degree_sum,C1,Development,concordance,0.906788787863616,0.894428572500159,0.916154810222159,artifacts/results/development_evaluation/development_embedding_identity_correction_v2/PRIMARY_METRICS.json,cells/C1_development/metrics/training_degree_sum,C1_development,3259,1000000,cells/C1_development/bootstrap_percentile_95_for_controls_and_ensembles/training_degree_sum
,development,3-mer cosine,within_pair_3mer_cosine,C1,Development,concordance,0.51747258225274,0.487785887574404,0.558623808883977,artifacts/results/development_evaluation/development_embedding_identity_correction_v2/PRIMARY_METRICS.json,cells/C1_development/metrics/within_pair_3mer_cosine,C1_development,3259,1000000,cells/C1_development/bootstrap_percentile_95_for_controls_and_ensembles/within_pair_3mer_cosine
,development,Component degree mass,component_degree_mass_product,C2,Development,concordance,0.499999999991513,0.49999999999999,0.500000000000001,artifacts/results/development_evaluation/development_embedding_identity_correction_v2/PRIMARY_METRICS.json,cells/C2_development/metrics/component_degree_mass_product,C2_development,11327,1000000,cells/C2_development/bootstrap_percentile_95_for_controls_and_ensembles/component_degree_mass_product
,development,Hash sentinel,deterministic_hash,C2,Development,concordance,0.497991972544417,0.487133884281372,0.506687577728667,artifacts/results/development_evaluation/development_embedding_identity_correction_v2/PRIMARY_METRICS.json,cells/C2_development/metrics/deterministic_hash,C2_development,11327,1000000,cells/C2_development/bootstrap_percentile_95_for_controls_and_ensembles/deterministic_hash
,development,3-mer interolog,exact_training_interolog_3mer,C2,Development,concordance,0.608145586410027,0.54358728378415,0.655489119353997,artifacts/results/development_evaluation/development_embedding_identity_correction_v2/PRIMARY_METRICS.json,cells/C2_development/metrics/exact_training_interolog_3mer,C2_development,11327,1000000,cells/C2_development/bootstrap_percentile_95_for_controls_and_ensembles/exact_training_interolog_3mer
,development,iPIN affine,lightweight_esm2_150m_linear__linear_lr3e-4,C2,Development,concordance,0.79979742021821,0.779354429621175,0.825052966056453,artifacts/results/development_evaluation/development_embedding_identity_correction_v2/PRIMARY_METRICS.json,cells/C2_development/metrics/lightweight_esm2_150m_linear__linear_lr3e-4,C2_development,11327,1000000,cells/C2_development/bootstrap_percentile_95_for_controls_and_ensembles/lightweight_esm2_150m_linear__linear_lr3e-4
,development,Preferential attachment,preferential_attachment,C2,Development,concordance,0.499999999991513,0.49999999999999,0.500000000000001,artifacts/results/development_evaluation/development_embedding_identity_correction_v2/PRIMARY_METRICS.json,cells/C2_development/metrics/preferential_attachment,C2_development,11327,1000000,cells/C2_development/bootstrap_percentile_95_for_controls_and_ensembles/preferential_attachment
,development,Length ratio,sequence_length_ratio,C2,Development,concordance,0.561148728330091,0.534884955650857,0.581807612077279,artifacts/results/development_evaluation/development_embedding_identity_correction_v2/PRIMARY_METRICS.json,cells/C2_development/metrics/sequence_length_ratio,C2_development,11327,1000000,cells/C2_development/bootstrap_percentile_95_for_controls_and_ensembles/sequence_length_ratio
,development,Length sum,sequence_length_sum,C2,Development,concordance,0.495916404817008,0.436638112654072,0.537879766471215,artifacts/results/development_evaluation/development_embedding_identity_correction_v2/PRIMARY_METRICS.json,cells/C2_development/metrics/sequence_length_sum,C2_development,11327,1000000,cells/C2_development/bootstrap_percentile_95_for_controls_and_ensembles/sequence_length_sum
,development,Common neighbors,training_common_neighbors,C2,Development,concordance,0.499999999991513,0.49999999999999,0.500000000000001,artifacts/results/development_evaluation/development_embedding_identity_correction_v2/PRIMARY_METRICS.json,cells/C2_development/metrics/training_common_neighbors,C2_development,11327,1000000,cells/C2_development/bootstrap_percentile_95_for_controls_and_ensembles/training_common_neighbors
,development,Degree sum,training_degree_sum,C2,Development,concordance,0.839263281307361,0.822792709771239,0.853079488861907,artifacts/results/development_evaluation/development_embedding_identity_correction_v2/PRIMARY_METRICS.json,cells/C2_development/metrics/training_degree_sum,C2_development,11327,1000000,cells/C2_development/bootstrap_percentile_95_for_controls_and_ensembles/training_degree_sum
,development,3-mer cosine,within_pair_3mer_cosine,C2,Development,concordance,0.548959924414294,0.493610287289673,0.590925219103257,artifacts/results/development_evaluation/development_embedding_identity_correction_v2/PRIMARY_METRICS.json,cells/C2_development/metrics/within_pair_3mer_cosine,C2_development,11327,1000000,cells/C2_development/bootstrap_percentile_95_for_controls_and_ensembles/within_pair_3mer_cosine
,development,Component degree mass,component_degree_mass_product,C3,Development,concordance,0.499999999990824,0.499999999999991,0.500000000000011,artifacts/results/development_evaluation/development_embedding_identity_correction_v2/PRIMARY_METRICS.json,cells/C3_development/metrics/component_degree_mass_product,C3_development,2265,1000000,cells/C3_development/bootstrap_percentile_95_for_controls_and_ensembles/component_degree_mass_product
,development,Hash sentinel,deterministic_hash,C3,Development,concordance,0.494232542603626,0.473022409436061,0.52197830185434,artifacts/results/development_evaluation/development_embedding_identity_correction_v2/PRIMARY_METRICS.json,cells/C3_development/metrics/deterministic_hash,C3_development,2265,1000000,cells/C3_development/bootstrap_percentile_95_for_controls_and_ensembles/deterministic_hash
,development,3-mer interolog,exact_training_interolog_3mer,C3,Development,concordance,0.635701358715407,0.52574934264821,0.754754284382531,artifacts/results/development_evaluation/development_embedding_identity_correction_v2/PRIMARY_METRICS.json,cells/C3_development/metrics/exact_training_interolog_3mer,C3_development,2265,1000000,cells/C3_development/bootstrap_percentile_95_for_controls_and_ensembles/exact_training_interolog_3mer
,development,iPIN affine,lightweight_esm2_150m_linear__linear_lr3e-4,C3,Development,concordance,0.784142246349548,0.742820138368981,0.852716268998339,artifacts/results/development_evaluation/development_embedding_identity_correction_v2/PRIMARY_METRICS.json,cells/C3_development/metrics/lightweight_esm2_150m_linear__linear_lr3e-4,C3_development,2265,1000000,cells/C3_development/bootstrap_percentile_95_for_controls_and_ensembles/lightweight_esm2_150m_linear__linear_lr3e-4
,development,Preferential attachment,preferential_attachment,C3,Development,concordance,0.499999999990824,0.499999999999991,0.500000000000011,artifacts/results/development_evaluation/development_embedding_identity_correction_v2/PRIMARY_METRICS.json,cells/C3_development/metrics/preferential_attachment,C3_development,2265,1000000,cells/C3_development/bootstrap_percentile_95_for_controls_and_ensembles/preferential_attachment
,development,Length ratio,sequence_length_ratio,C3,Development,concordance,0.660880051210251,0.566995109386383,0.742349922980613,artifacts/results/development_evaluation/development_embedding_identity_correction_v2/PRIMARY_METRICS.json,cells/C3_development/metrics/sequence_length_ratio,C3_development,2265,1000000,cells/C3_development/bootstrap_percentile_95_for_controls_and_ensembles/sequence_length_ratio
