checkpoint,checkpoint_sha256,concordance,epoch,parameters,prediction_sha256,predictions,recipe_id,run_id,seed,stage,swap_max_abs_error,name,family,width,dropout,lr,weight_decay
stage1__esm2_150m__linear_slow__seed20260803/epoch_03.npz,bb21400f4cc6648a7e1c19c56d47c7cbb96a9a0c0174b228ffc17ca7920a5e9f,0.78135512604023,3,1922,ee81c70dbff2322508e296807588d2b0d9228db6527f8a0047134d875fb1af4b,stage1__esm2_150m__linear_slow__seed20260803/epoch_03_development.npy,esm2_150m__linear_slow,stage1__esm2_150m__linear_slow__seed20260803,20260803,1,0,linear_slow,linear,0,0,0.0001,0.01
stage1__esm2_150m__linear_base_lr__seed20260803/epoch_03.npz,0d7650fa823ea7bcaa0058eab95a99ca42e94bf68a12e70c2bb169992077d9d8,0.790170064450737,3,1922,b9b06fedda23004184516d9241b5e8a68200173f03b1893a0b21ba577fa7b0be,stage1__esm2_150m__linear_base_lr__seed20260803/epoch_03_development.npy,esm2_150m__linear_base_lr,stage1__esm2_150m__linear_base_lr__seed20260803,20260803,1,0,linear_base_lr,linear,0,0,0.0003,0.01
stage1__esm2_150m__linear_fast__seed20260803/epoch_03.npz,38b884c6379ad49eb90114919eabc49c1d0696b8e19e288b6d861f6d2864f215,0.776880830235115,3,1922,6a8e38409e03373ee8572d11ad371cce6541f98b36b495eb69682c55e9296e1a,stage1__esm2_150m__linear_fast__seed20260803/epoch_03_development.npy,esm2_150m__linear_fast,stage1__esm2_150m__linear_fast__seed20260803,20260803,1,0,linear_fast,linear,0,0,0.001,0.01
stage1__esm2_150m__linear_regularized__seed20260803/epoch_03.npz,76b87bc7e8ce73ec47e061bf897018273a381ca507a4374830184c77b603b49d,0.777551533325593,3,1922,e0858827c54e2a1baf693fa2b394fc25f297e7305b29de8cdeff602a7d789de7,stage1__esm2_150m__linear_regularized__seed20260803/epoch_03_development.npy,esm2_150m__linear_regularized,stage1__esm2_150m__linear_regularized__seed20260803,20260803,1,0,linear_regularized,linear,0,0,0.001,0.1
stage1__esm2_150m__mlp_small__seed20260803/epoch_03.npz,562ba3c9282e1716e13cecb79d689f4d6ebda2b7f3e013175f30af9e95024f90,0.789733050764142,3,126915,fe90d054930f2bba8aef581d27336f2ba04d2aa3dc184d8990380b89650a9016,stage1__esm2_150m__mlp_small__seed20260803/epoch_03_development.npy,esm2_150m__mlp_small,stage1__esm2_150m__mlp_small__seed20260803,20260803,1,0,mlp_small,mlp,64,0.1,0.0003,0.01
stage1__esm2_150m__mlp_wide__seed20260803/epoch_03.npz,c4725c0674a0b4b222515d047b6245aa302a58bf5cd8a0c37ccee4bf9fa2015f,0.802129926481325,3,496131,ab5bdaaec05c8e7c2ebe0c11e91f537b957897ccdc66414b3bd875f5f40543f9,stage1__esm2_150m__mlp_wide__seed20260803/epoch_03_development.npy,esm2_150m__mlp_wide,stage1__esm2_150m__mlp_wide__seed20260803,20260803,1,0,mlp_wide,mlp,256,0.3,0.0001,0.01
stage1__esm2_150m__mlp_fast__seed20260803/epoch_03.npz,7cf3d55e75a258f11b3d68fdeefd97a24e7bf0221a83d17a74e2b7a5873ae9c0,0.752701352973056,3,249987,956824715848abd9984c82c20faa68101d5fee18a683b74b0f2fbbfa900575b5,stage1__esm2_150m__mlp_fast__seed20260803/epoch_03_development.npy,esm2_150m__mlp_fast,stage1__esm2_150m__mlp_fast__seed20260803,20260803,1,0,mlp_fast,mlp,128,0.1,0.001,0.1
stage1__esm2_150m__residual_small__seed20260803/epoch_03.npz,bc9269b18f1d358d183e8daf4b223e05c27d2982844832518ae8ca033ba1e0a9,0.776136166879617,3,128837,b157c42041ae760c270906745bab303b65e3fa9c8a6b15bc219ec28ff1a80d6b,stage1__esm2_150m__residual_small__seed20260803/epoch_03_development.npy,esm2_150m__residual_small,stage1__esm2_150m__residual_small__seed20260803,20260803,1,0,residual_small,residual_mlp,64,0.1,0.0003,0.01
stage1__esm2_150m__residual_wide__seed20260803/epoch_03.npz,693c6535160f20a1fea1a5c022b03b938036efacbe9b999cb6f66579bfec5bcd,0.805183292043904,3,498053,343b679336ddc0e6ab8f194af1f10955736b9889bc373495f3e9f6fe1919dd1f,stage1__esm2_150m__residual_wide__seed20260803/epoch_03_development.npy,esm2_150m__residual_wide,stage1__esm2_150m__residual_wide__seed20260803,20260803,1,0,residual_wide,residual_mlp,256,0.3,0.0001,0.01
stage1__esm2_150m__residual_fast__seed20260803/epoch_03.npz,2c010c25c0082e1bf9436c8848ca773fa4d132506e1bdf55ec2112c534c8fc23,0.739650627366239,3,251909,65daf2336117a3bfb2e89b9551f73269790bd5c7a8f3e452f85dc317a412a281,stage1__esm2_150m__residual_fast__seed20260803/epoch_03_development.npy,esm2_150m__residual_fast,stage1__esm2_150m__residual_fast__seed20260803,20260803,1,0,residual_fast,residual_mlp,128,0.1,0.001,0.1
