arm,fold,fit_endpoints,removed_fit_endpoints,fit_P,fit_U,evaluation_P,evaluation_U,anchors,anchor_components,quartets,quartet_components,direct_remote_cross_edges,target_only_P_hidden_as_U
union,0,7933,0,7367,882510,2012,225651,1075,598,2000,552,5861,0
union,1,7933,0,8123,942115,1641,196223,928,631,2000,610,4565,0
union,2,7934,0,7107,843252,2145,246003,1069,638,2000,606,5260,0
purged20,0,5270,2663,3595,414772,2012,225651,1075,598,2000,552,0,0
purged20,1,4619,3314,3090,350754,1641,196223,928,631,2000,610,0,0
purged20,2,4601,3333,2905,344015,2145,246003,1069,638,2000,606,0,0
hi_to_huri,0,7933,0,1312,888565,1561,225651,934,512,1191,448,5861,6055
hi_to_huri,1,7933,0,1716,948522,1385,196223,817,563,1398,531,4565,6407
hi_to_huri,2,7934,0,1353,849006,1723,246003,906,555,1287,507,5260,5754
huri_to_hi,0,7933,0,6601,883276,275,225651,273,186,29,59,5861,766
huri_to_hi,1,7933,0,7082,943156,145,196223,173,155,17,56,4565,1041
huri_to_hi,2,7934,0,6281,844078,243,246003,270,199,20,49,5260,826
