target,cohort,model,anchor,context_n,background_n,context_mean,context_median,context_q25,context_q75,context_sd,background_mean,background_median,background_q25,background_q75,background_sd,mean_difference,median_difference,A,rank_biserial,KS_distance,nonmatching_background_n,A_context_vs_nonmatching_background
ERN1,original_six,ipin_baseline,O75460,50,50,-2.26087512905399,-2.145671844482422,-2.746602972348531,-1.7095137238502502,0.7874238608251259,-2.4067265605926513,-2.4216129779815674,-2.8179686069488525,-1.9053506155808768,0.6194299009929384,0.1458514315386612,0.2759411334991455,0.556,0.1120000000000001,0.16,49,0.5506122448979592
ERN1,original_six,ipin_baseline,P11021,50,50,-2.3007971120253203,-2.381818373998006,-2.931687196095784,-1.9432287017504373,0.792417873678909,-2.4393117185433706,-2.5734934012095136,-2.8553075591723123,-1.9331435362497966,0.7512591150402707,0.13851460651805025,0.19167502721150775,0.5384,0.07679999999999998,0.12,49,0.5436734693877551
ERN1,original_six,ipin_baseline,Q15084,50,50,-2.2404874579111738,-2.3652278582255044,-2.68844997882843,-1.6545244654019673,0.765439313327185,-2.5132141029834747,-2.573314269383748,-3.0435032844543457,-1.9945941865444183,0.6872626789566693,0.27272664507230093,0.20808641115824367,0.6052,0.21039999999999992,0.22,48,0.6066666666666667
ERN1,original_six,ipin_baseline,P61619,50,50,-2.4171934382120766,-2.3375119368235273,-2.8741278052330017,-1.937013953924179,0.7432175468688396,-2.378899978001913,-2.457652409871419,-2.8871518770853677,-1.8577682276566825,0.7288940563497172,-0.038293460210163666,0.12014047304789166,0.49,-0.020000000000000018,0.1,49,0.49183673469387756
ERN1,original_six,ipin_optimized,O75460,50,50,-2.723413759370645,-2.6061308781305947,-3.4530362089474997,-2.149406979481379,1.206991167704824,-3.2686392287413275,-3.175721605618795,-3.9323571721712747,-2.701293488343557,0.9348481726020684,0.5452254693706826,0.5695907274882002,0.6432,0.2864,0.3,49,0.6408163265306123
ERN1,original_six,ipin_optimized,P11021,50,50,-2.8298945663372677,-3.0276602506637573,-3.5568904876708984,-2.031413416067759,1.1286878716924929,-2.752368596196175,-2.6456719835599265,-3.5279529094696045,-1.7731317455569904,1.2763258924639942,-0.07752597014109286,-0.3819882671038308,0.4776,-0.04479999999999995,0.14,49,0.4775510204081633
ERN1,original_six,ipin_optimized,Q15084,50,50,-2.8251500274737675,-2.8018115758895874,-3.4382223089536033,-2.107711046934128,1.0275003055945646,-2.8201136155923208,-2.8473512729008994,-3.3670956293741865,-2.2232722640037537,0.9883918939058565,-0.005036411881446767,0.045539697011312,0.516,0.03200000000000003,0.1,48,0.5204166666666666
ERN1,original_six,ipin_optimized,P61619,50,50,-2.856059425671895,-2.622382402420044,-3.3928544720013933,-2.1480470101038613,1.0778091806376013,-2.598831875820955,-2.6266251405080157,-3.5859836141268415,-1.9419150153795877,1.1836956322894518,-0.2572275498509402,0.004242738087971709,0.4612,-0.0776,0.18,49,0.45510204081632655
ERN1,original_six,tuna_retrained,O75460,50,50,-8.282444089253744,-8.484391927719116,-9.419291098912558,-7.375627795855204,1.3878448366833283,-10.614429415067036,-10.604302485783894,-11.894445021947224,-9.56265648206075,1.741012988919378,2.3319853258132923,2.1199105580647775,0.86,0.72,0.6,49,0.8628571428571429
ERN1,original_six,tuna_retrained,P11021,50,50,-10.01583181699117,-9.791680971781414,-11.143667697906494,-8.863938570022583,1.7135645063829872,-9.98133032162984,-9.402443011601765,-11.159335533777872,-8.791107853253683,1.8982655016135257,-0.034501495361329404,-0.3892379601796492,0.4872,-0.025599999999999956,0.16,49,0.4922448979591837
