query_gene,partner_gene,partner_uniprot,model,score,rank_min,rank_max,rank_mid,panel_size,top10_fractional_credit,fraction_U_outranked_half_ties,matched_100U_concordance,matched_context_50U_concordance,matched_background_50U_concordance,development_exposed_positive,homomeric
ERN1,ERN1,O75460,ipin_baseline,-1.01774263381958,18,18,18.0,404,0.0,0.9575,0.97,0.94,1.0,False,True
ERN1,HSPA5,P11021,ipin_baseline,-3.1607515017191568,348,348,348.0,404,0.0,0.14,0.13,0.1,0.16,False,False
ERN1,PDIA6,Q15084,ipin_baseline,-2.2562062740325928,170,170,170.0,404,0.0,0.58,0.61,0.54,0.68,False,False
ERN1,SEC61A1,P61619,ipin_baseline,-2.959925651550293,314,314,314.0,404,0.0,0.2225,0.23,0.24,0.22,False,False
ERN1,ERN1,O75460,ipin_optimized,-0.9729743003845215,14,14,14.0,404,0.0,0.9675,0.99,0.98,1.0,False,True
ERN1,HSPA5,P11021,ipin_optimized,-3.236354192097982,259,259,259.0,404,0.0,0.36,0.36,0.4,0.32,False,False
ERN1,PDIA6,Q15084,ipin_optimized,-3.378861904144287,280,280,280.0,404,0.0,0.31,0.26,0.26,0.26,False,False
ERN1,SEC61A1,P61619,ipin_optimized,-3.186006704966227,249,249,249.0,404,0.0,0.3825,0.35,0.32,0.38,False,False
ERN1,ERN1,O75460,tuna_original,0.855528712272644,1,1,1.0,404,1.0,1.0,1.0,1.0,1.0,False,True
ERN1,HSPA5,P11021,tuna_original,0.6366562247276306,172,172,172.0,404,0.0,0.5775,0.67,0.58,0.76,False,False
ERN1,PDIA6,Q15084,tuna_original,0.6879025101661682,103,103,103.0,404,0.0,0.7475,0.77,0.66,0.88,False,False
ERN1,SEC61A1,P61619,tuna_original,0.6290624141693115,180,180,180.0,404,0.0,0.56,0.54,0.26,0.82,False,False
ERN1,ERN1,O75460,tuna_retrained,-3.6701322396596274,1,1,1.0,404,1.0,1.0,1.0,1.0,1.0,False,True
ERN1,HSPA5,P11021,tuna_retrained,-11.230369567871094,325,325,325.0,404,0.0,0.1975,0.22,0.22,0.22,False,False
ERN1,PDIA6,Q15084,tuna_retrained,-8.74140707651774,123,123,123.0,404,0.0,0.7,0.73,0.68,0.78,False,False
ERN1,SEC61A1,P61619,tuna_retrained,-8.616581281026205,109,109,109.0,404,0.0,0.7325,0.69,0.52,0.86,False,False
TP53,MDM2,Q00987,ipin_baseline,-2.060058116912842,201,201,201.0,303,0.0,0.34,0.34,0.2,0.48,False,False
TP53,MDM4,O15151,ipin_baseline,-1.8046123186747234,165,165,165.0,303,0.0,0.45666666666666667,0.56,0.48,0.64,False,False
TP53,EP300,Q09472,ipin_baseline,-1.1178932785987854,76,76,76.0,303,0.0,0.75,0.71,0.78,0.64,False,False
TP53,MDM2,Q00987,ipin_optimized,-1.4277615745862324,163,163,163.0,303,0.0,0.4633333333333333,0.44,0.32,0.56,False,False
TP53,MDM4,O15151,ipin_optimized,-0.8630164662996928,113,113,113.0,303,0.0,0.6266666666666667,0.7,0.62,0.78,False,False
TP53,EP300,Q09472,ipin_optimized,-1.751328428586324,200,200,200.0,303,0.0,0.3433333333333333,0.33,0.32,0.34,False,False
TP53,MDM2,Q00987,tuna_original,0.6187607049942017,34,34,34.0,303,0.0,0.8933333333333333,0.91,0.88,0.94,False,False
TP53,MDM4,O15151,tuna_original,0.6424752473831177,21,21,21.0,303,0.0,0.9333333333333333,0.93,0.9,0.96,False,False
TP53,EP300,Q09472,tuna_original,0.5492487549781799,96,96,96.0,303,0.0,0.69,0.64,0.52,0.76,False,False
TP53,MDM2,Q00987,tuna_retrained,-5.815252621968587,28,28,28.0,303,0.0,0.91,0.91,0.84,0.98,False,False
TP53,MDM4,O15151,tuna_retrained,-6.332675933837891,52,52,52.0,303,0.0,0.8333333333333334,0.82,0.72,0.92,False,False
TP53,EP300,Q09472,tuna_retrained,-6.823338031768799,84,84,84.0,303,0.0,0.73,0.77,0.72,0.82,False,False
