query_gene,partner_gene,partner_uniprot,model,candidate_set,score,rank_min,rank_max,rank_mid,panel_size,top5_fractional_credit,top10_fractional_credit,top20_fractional_credit
ERN1,ERN1,O75460,ipin_baseline,context,-1.01774263381958,13,13,13.0,204,0.0,0.0,1.0
ERN1,HSPA5,P11021,ipin_baseline,context,-3.1607515017191568,176,176,176.0,204,0.0,0.0,0.0
ERN1,PDIA6,Q15084,ipin_baseline,context,-2.2562062740325928,92,92,92.0,204,0.0,0.0,0.0
ERN1,SEC61A1,P61619,ipin_baseline,context,-2.959925651550293,161,161,161.0,204,0.0,0.0,0.0
ERN1,ERN1,O75460,ipin_baseline,background,-1.01774263381958,6,6,6.0,204,0.0,1.0,1.0
ERN1,HSPA5,P11021,ipin_baseline,background,-3.1607515017191568,176,176,176.0,204,0.0,0.0,0.0
ERN1,PDIA6,Q15084,ipin_baseline,background,-2.2562062740325928,80,80,80.0,204,0.0,0.0,0.0
ERN1,SEC61A1,P61619,ipin_baseline,background,-2.959925651550293,156,156,156.0,204,0.0,0.0,0.0
ERN1,ERN1,O75460,ipin_baseline,low_plausibility,-1.01774263381958,5,5,5.0,204,1.0,1.0,1.0
ERN1,HSPA5,P11021,ipin_baseline,low_plausibility,-3.1607515017191568,180,180,180.0,204,0.0,0.0,0.0
ERN1,PDIA6,Q15084,ipin_baseline,low_plausibility,-2.2562062740325928,79,79,79.0,204,0.0,0.0,0.0
ERN1,SEC61A1,P61619,ipin_baseline,low_plausibility,-2.959925651550293,165,165,165.0,204,0.0,0.0,0.0
ERN1,ERN1,O75460,ipin_baseline,context_background,-1.01774263381958,18,18,18.0,404,0.0,0.0,1.0
ERN1,HSPA5,P11021,ipin_baseline,context_background,-3.1607515017191568,348,348,348.0,404,0.0,0.0,0.0
ERN1,PDIA6,Q15084,ipin_baseline,context_background,-2.2562062740325928,170,170,170.0,404,0.0,0.0,0.0
ERN1,SEC61A1,P61619,ipin_baseline,context_background,-2.959925651550293,314,314,314.0,404,0.0,0.0,0.0
ERN1,ERN1,O75460,ipin_baseline,all_U,-1.01774263381958,22,22,22.0,604,0.0,0.0,0.0
ERN1,HSPA5,P11021,ipin_baseline,all_U,-3.1607515017191568,524,524,524.0,604,0.0,0.0,0.0
ERN1,PDIA6,Q15084,ipin_baseline,all_U,-2.2562062740325928,247,247,247.0,604,0.0,0.0,0.0
ERN1,SEC61A1,P61619,ipin_baseline,all_U,-2.959925651550293,476,476,476.0,604,0.0,0.0,0.0
ERN1,ERN1,O75460,ipin_optimized,context,-0.9729743003845215,6,6,6.0,204,0.0,1.0,1.0
ERN1,HSPA5,P11021,ipin_optimized,context,-3.236354192097982,136,136,136.0,204,0.0,0.0,0.0
ERN1,PDIA6,Q15084,ipin_optimized,context,-3.378861904144287,145,145,145.0,204,0.0,0.0,0.0
ERN1,SEC61A1,P61619,ipin_optimized,context,-3.186006704966227,131,131,131.0,204,0.0,0.0,0.0
ERN1,ERN1,O75460,ipin_optimized,background,-0.9729743003845215,9,9,9.0,204,0.0,1.0,1.0
ERN1,HSPA5,P11021,ipin_optimized,background,-3.236354192097982,126,126,126.0,204,0.0,0.0,0.0
ERN1,PDIA6,Q15084,ipin_optimized,background,-3.378861904144287,139,139,139.0,204,0.0,0.0,0.0
ERN1,SEC61A1,P61619,ipin_optimized,background,-3.186006704966227,120,120,120.0,204,0.0,0.0,0.0
ERN1,ERN1,O75460,ipin_optimized,low_plausibility,-0.9729743003845215,5,5,5.0,204,1.0,1.0,1.0
ERN1,HSPA5,P11021,ipin_optimized,low_plausibility,-3.236354192097982,137,137,137.0,204,0.0,0.0,0.0
ERN1,PDIA6,Q15084,ipin_optimized,low_plausibility,-3.378861904144287,151,151,151.0,204,0.0,0.0,0.0
ERN1,SEC61A1,P61619,ipin_optimized,low_plausibility,-3.186006704966227,126,126,126.0,204,0.0,0.0,0.0
ERN1,ERN1,O75460,ipin_optimized,context_background,-0.9729743003845215,14,14,14.0,404,0.0,0.0,1.0
ERN1,HSPA5,P11021,ipin_optimized,context_background,-3.236354192097982,259,259,259.0,404,0.0,0.0,0.0
ERN1,PDIA6,Q15084,ipin_optimized,context_background,-3.378861904144287,280,280,280.0,404,0.0,0.0,0.0
ERN1,SEC61A1,P61619,ipin_optimized,context_background,-3.186006704966227,249,249,249.0,404,0.0,0.0,0.0
ERN1,ERN1,O75460,ipin_optimized,all_U,-0.9729743003845215,18,18,18.0,604,0.0,0.0,1.0
ERN1,HSPA5,P11021,ipin_optimized,all_U,-3.236354192097982,393,393,393.0,604,0.0,0.0,0.0
ERN1,PDIA6,Q15084,ipin_optimized,all_U,-3.378861904144287,427,427,427.0,604,0.0,0.0,0.0
ERN1,SEC61A1,P61619,ipin_optimized,all_U,-3.186006704966227,373,373,373.0,604,0.0,0.0,0.0
ERN1,ERN1,O75460,tuna_retrained,context,-3.6701322396596274,1,1,1.0,204,1.0,1.0,1.0
ERN1,HSPA5,P11021,tuna_retrained,context,-11.230369567871094,186,186,186.0,204,0.0,0.0,0.0
ERN1,PDIA6,Q15084,tuna_retrained,context,-8.74140707651774,87,87,87.0,204,0.0,0.0,0.0
ERN1,SEC61A1,P61619,tuna_retrained,context,-8.616581281026205,77,77,77.0,204,0.0,0.0,0.0
ERN1,ERN1,O75460,tuna_retrained,background,-3.6701322396596274,1,1,1.0,204,1.0,1.0,1.0
ERN1,HSPA5,P11021,tuna_retrained,background,-11.230369567871094,143,143,143.0,204,0.0,0.0,0.0
