U_stratum,anchor_positive_uniprot,class,development_exposed_positive,homomeric,panel_row,partner_gene,partner_sequence_length,partner_sequence_sha256,partner_uniprot,prior_train_development_pair,query_gene,query_sequence_length,query_sequence_sha256,query_uniprot,target_cohort,training_exposed_positive,ipin_baseline_score,ipin_optimized_score,tuna_retrained_seed20260803_score,tuna_retrained_seed20260817_score,tuna_retrained_seed20260831_score,tuna_retrained_score,ipin_baseline_rank,ipin_optimized_rank,tuna_retrained_rank
,,P,False,False,1,MDM2,491,77ed25650e717b3f610e42ef8e5c1c88d50e7485725032f8535448a0ca8b61b1,Q00987,False,TP53,393,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3,P04637,original_six,False,-2.060058116912842,-1.4277615745862324,-7.005260944366455,-7.504804611206055,-2.935692310333252,-5.815252621968587,201.0,163.0,28.0
,,P,False,False,2,MDM4,490,fb619a5b2a22bab98d1ec43db4cd85b129d53b99bbc0c2ca00a44fdd421828ab,O15151,False,TP53,393,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3,P04637,original_six,False,-1.8046123186747234,-0.8630164662996928,-7.427194118499756,-7.337255001068115,-4.233578681945801,-6.332675933837891,165.0,113.0,52.0
,,P,False,False,3,EP300,2414,b1145f7221920a6ebbaba4b030af3d5df9b1df69d37f2a656aa2640c37336aa4,Q09472,False,TP53,393,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3,P04637,original_six,False,-1.1178932785987854,-1.751328428586324,-7.543209075927734,-8.774797439575195,-4.152007579803467,-6.823338031768799,76.0,200.0,84.0
context,Q00987,U,False,False,4,ZNF778,729,74dbe770caa41497fa8e311b05862285fde6f1b0eb02799222bab7ef2594ac91,Q96MU6,False,TP53,393,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3,P04637,original_six,False,-1.3393566211064656,-0.8352528611818949,-4.108340263366699,-8.094115257263184,-4.43091344833374,-5.544456322987874,102.0,109.0,22.0
context,Q00987,U,False,False,5,ZNF583,569,0aaa672e84a8cf95e3d6fcdd0f05436591694cec4125a93911982f031260c1d8,Q96ND8,False,TP53,393,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3,P04637,original_six,False,-2.208198149998983,-1.4560106595357258,-6.168807029724121,-8.725460052490234,-8.187189102172852,-7.693818728129069,221.0,169.0,154.0
context,Q00987,U,False,False,6,KANSL3,904,00ba44afa9e1737b804035ac3984903d04e1952f12b64778c298c4c502719a66,Q9P2N6,False,TP53,393,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3,P04637,original_six,False,-1.6147239605585735,-1.5923518141110737,-9.169617652893066,-8.70186996459961,-8.540973663330078,-8.804153760274252,139.0,179.0,225.0
context,Q00987,U,False,False,7,ZFP69,526,09f903109765649fb96d0d9926c8e74db276b262e8b32a448ebac4ec705370cc,Q49AA0,False,TP53,393,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3,P04637,original_six,False,-2.1624821027119956,-1.433234969774882,-5.927943706512451,-9.22495174407959,-8.776444435119629,-7.976446628570557,213.0,165.0,176.0
context,Q00987,U,False,False,8,POLGARF,260,123ee6b088d727790323e2595c4e29b02e8927e0d1ee22de12dc439daa6d4932,A0A3B3IS91,False,TP53,393,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3,P04637,original_six,False,-2.001712203025818,-0.2611410816510518,-6.264457702636719,-4.721953392028809,-4.462475776672363,-5.14962895711263,197.0,56.0,12.0
context,Q00987,U,False,False,9,ACD,458,4bcc4a88ac93f688d2624aa643a6a6fa7bda0074c3016bb1c1a59fe27dbfb593,Q96AP0,False,TP53,393,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3,P04637,original_six,False,-1.5923023223876953,-0.7782028913497925,-9.382479667663574,-9.41466999053955,-4.983993053436279,-7.927047570546468,132.0,104.0,171.0
context,Q00987,U,False,False,10,PHF10,498,ae1c7c8170d1a999f61a082cc9888f7c4745a288edd75f29529ddda7a760d184,Q8WUB8,False,TP53,393,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3,P04637,original_six,False,-1.615253488222758,-1.2206742366154988,-6.915438175201416,-7.401712894439697,-5.8981032371521,-6.738418102264404,140.0,136.0,75.0
context,Q00987,U,False,False,11,RBFOX2,390,5f87bc1f67cbb22195abcb4b9134c3bff70c5474369e26fcd2a2b2a1dc102b23,O43251,False,TP53,393,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3,P04637,original_six,False,-2.2463502089182534,-0.8678759535153707,-7.702282428741455,-14.000263214111328,-6.36116361618042,-9.354569753011068,225.0,115.0,248.0
context,Q00987,U,False,False,12,FEZF2,459,f7df69f1360e2407684f90998a3b6bed2d2763a901af74bb334e5fe6edfe38ec,Q8TBJ5,False,TP53,393,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3,P04637,original_six,False,-1.519407590230306,-1.227034608523051,-7.793402194976807,-9.62044620513916,-7.693487644195557,-8.369112014770508,127.0,137.0,193.0
context,Q00987,U,False,False,13,ACTB,375,d498c40159d7c993d9e7e36afbe2f4921d5e81e6ab08d5388cbab47cc0234a92,P60709,False,TP53,393,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3,P04637,original_six,False,-2.099899927775065,-0.6997334957122803,-8.368374824523926,-7.242136478424072,-6.724168300628662,-7.44489320119222,207.0,99.0,136.0
context,Q00987,U,False,False,14,CCNE2,404,06a577daa4cba0a37137d8435e01211192b527430f9ee8ba73a31e0bb0491d27,O96020,False,TP53,393,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3,P04637,original_six,False,-1.9090783993403118,-1.9119940201441448,-9.131394386291504,-9.792338371276855,-7.3397603034973145,-8.75449768702189,183.0,221.0,221.0
context,Q00987,U,False,False,15,ZNF440,595,9da48caddd8fd6c7bcf146463d1918a1b2d80ab78ca4b9ee844b2b5cd632b7d2,Q8IYI8,False,TP53,393,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3,P04637,original_six,False,-1.22723384698232,-0.9691761334737142,-3.3538172245025635,-7.18467378616333,-4.408663272857666,-4.98238476117452,89.0,119.0,7.0
context,Q00987,U,False,False,16,CRNKL1,848,fddfbfc860c997860fa9fa4a7e096bfd29431eb00a7021bf5b2986ae4cc110f3,Q9BZJ0,False,TP53,393,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3,P04637,original_six,False,-0.24211067457993826,-1.6534459988276164,-6.983421802520752,-11.46118450164795,-7.258520603179932,-8.567708969116211,13.0,185.0,208.0
context,Q00987,U,False,False,17,ZNF784,323,f35113f5f233674d00a0ad4a32aa190b881d888ebaee2a58667519a4c8224a9f,Q8NCA9,False,TP53,393,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3,P04637,original_six,False,-1.0032818118731182,0.1604717175165812,-4.877525329589844,-10.022260665893555,-6.436922073364258,-7.112236022949219,58.0,30.0,104.0
context,Q00987,U,False,False,18,NUFIP2,695,ba6fc261ec304fe6b2c251fe71b6162f5f981b6fd471dd45b3f0820e4c6ea556,Q7Z417,False,TP53,393,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3,P04637,original_six,False,-1.0654156804084778,-0.31521384914716083,-8.782231330871582,-7.515510559082031,-5.583224296569824,-7.2936553955078125,64.0,61.0,118.0
context,Q00987,U,False,False,19,RPS6,249,17b2646f1af19ebb06cc17eaeb5386e888277d00ffc519b3aa049b653ffa72d2,P62753,False,TP53,393,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3,P04637,original_six,False,-2.3556693394978843,-3.1849709351857505,-8.214699745178223,-8.911657333374023,-6.276702404022217,-7.801019827524821,238.0,284.0,162.0
context,Q00987,U,False,False,20,ZNF724,619,9df3a8bf80c2b4b21bf50549826b89f14fbe69ce9006a118049df57915e6d54e,A8MTY0,False,TP53,393,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3,P04637,original_six,False,-3.3695622285207114,-2.7002029418945312,-7.101616382598877,-7.953744888305664,-3.8828887939453125,-6.312750021616618,289.0,268.0,49.0
context,Q00987,U,False,False,21,BRD2,801,8f2e0977834e932b19f9a7b8f8e5b9ed6eb97c7c2aaedddbead55aa8e21898bc,P25440,False,TP53,393,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3,P04637,original_six,False,-0.8955480058987936,0.5549338137110075,-4.22346830368042,-8.240721702575684,-5.4734272956848145,-5.97920576731364,48.0,17.0,35.0
context,Q00987,U,False,False,22,TRAIP,469,7c0e0004f34acc3a183f86da852c57ddb1fed6307f7af8a1a9cd669852148989,Q9BWF2,False,TP53,393,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3,P04637,original_six,False,-0.50588591893514,-0.056644817193349205,-5.329413414001465,-4.339371681213379,-5.848740100860596,-5.1725083986918134,25.0,44.0,13.0
context,Q00987,U,False,False,23,COPS7B,264,dfa862496d53797ccfc4223e8bb15a97310e6a6671f946229158525fbe2d5bc7,Q9H9Q2,False,TP53,393,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3,P04637,original_six,False,-1.73531969388326,-2.000688831011454,-10.16388988494873,-11.03525447845459,-7.164493560791016,-9.454545974731445,157.0,229.0,250.0
context,Q00987,U,False,False,24,HOXB5,269,d08aac8fd794a4827ef333fc4da5c6f1a8b82d8fc334bd88d8c9ab8fff610c20,P09067,False,TP53,393,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3,P04637,original_six,False,0.4800237814585368,0.9654163122177124,-5.107947826385498,-6.7368388175964355,-4.463298320770264,-5.4360283215840655,2.0,10.0,18.0
context,Q00987,U,False,False,25,DPH1,438,e19de3ab84b0e049bc9055670f478e1cab163f1dacd10045ba67830c34bb1c8a,Q9BZG8,False,TP53,393,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3,P04637,original_six,False,-1.3681799570719402,-2.1604159275690713,-9.577890396118164,-8.472260475158691,-8.035664558410645,-8.695271809895834,109.0,246.0,215.0
context,Q00987,U,False,False,26,POLD2,469,bf61fb61c92fa42d0e1fd10eaea77cc9eefb3e3baaefd15b1f8a494e6aa58a33,P49005,False,TP53,393,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3,P04637,original_six,False,-1.2824268738428752,-1.43993212779363,-10.314552307128906,-10.862776756286621,-5.648134231567383,-8.941821098327637,90.0,166.0,234.0
context,Q00987,U,False,False,27,ALKBH1,389,200f961262aa2415b054550243782b7cf0fc516376a3ca3a700692b87a373b5f,Q13686,False,TP53,393,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3,P04637,original_six,False,-0.4805457691351573,0.04170655210812887,-8.290260314941406,-9.143508911132812,-5.425816535949707,-7.619861920674642,23.0,35.0,146.0
context,Q00987,U,False,False,28,SP2,613,ba77f0f538d1974989dda05f42329db84aeabef9e27caf096d64661a2cea2798,Q02086,False,TP53,393,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3,P04637,original_six,False,-1.3184120655059814,-1.8037134011586506,-6.192704677581787,-8.695220947265625,-6.333232879638672,-7.073719501495361,100.0,212.0,96.0
context,Q00987,U,False,False,29,NASP,788,352ef2c6a41b88338aa5c91aad65c5767775a1c964a30fb15698581dbf513e58,P49321,False,TP53,393,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3,P04637,original_six,False,-1.94499405225118,-2.166717608769735,-9.118217468261719,-11.121074676513672,-6.298135757446289,-8.84580930074056,191.0,247.0,229.0
context,Q00987,U,False,False,30,NSMCE1,266,d53b4039fc6e3e66f4fedf4fdeeb439cf459bdc21ce23fd81b1b842009c49dd4,Q8WV22,False,TP53,393,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3,P04637,original_six,False,-1.7177878220876057,-1.3067235549290974,-6.7812275886535645,-5.9079909324646,-6.74611759185791,-6.478445370992024,154.0,146.0,62.0
context,Q00987,U,False,False,31,RNGTT,597,28bd3ea820ac63f2f744f71a28ee053057ab569b0a13a8fbe1e26a66b6f4f2f4,O60942,False,TP53,393,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3,P04637,original_six,False,-1.0037550528844197,-0.0489386518796285,-4.252933502197266,-7.822964668273926,-2.1513819694519043,-4.742426713307698,59.0,43.0,4.0
context,Q00987,U,False,False,32,ARIH1,557,15ac069d5e164329f58acd6791740dee51a2430b7d21850982f9c120722c272a,Q9Y4X5,False,TP53,393,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3,P04637,original_six,False,-0.4387316107749939,0.0818021794160207,-5.650343894958496,-11.645380973815918,-3.940951108932495,-7.07889199256897,21.0,33.0,98.0
context,Q00987,U,False,False,33,SMU1,513,eca765c8774268c7b896afdd9de47ffe7860d58a05c2ce4bfb651725871e222b,Q2TAY7,False,TP53,393,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3,P04637,original_six,False,-1.8681966066360474,-1.2349172234535217,-9.857526779174805,-10.708645820617676,-7.941944599151611,-9.502705732981363,176.0,139.0,253.0
context,Q00987,U,False,False,34,ATXN1,815,8394172a312489e2572c7b0167240ed570acbd6bf6fb74bf9197c9324fc3e871,P54253,False,TP53,393,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3,P04637,original_six,False,-0.512079119682312,0.12587619200348854,-9.323866844177246,-8.378262519836426,-5.623510360717773,-7.775213241577148,27.0,32.0,160.0
context,Q00987,U,False,False,35,NET1,596,bc6f1161e6429c10488f660726a334e561a345e3a9cc289f1a693a4993c7217e,Q7Z628,False,TP53,393,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3,P04637,original_six,False,-1.2116951147715251,-0.7091898719469706,-6.1370086669921875,-8.190361976623535,-6.113327503204346,-6.8135660489400225,87.0,100.0,82.0
context,Q00987,U,False,False,36,ANAPC5,755,ef395586fd997a669e8a8469c72ac3e7932a4d6a646710541ff5cc2aa014eb92,Q9UJX4,False,TP53,393,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3,P04637,original_six,False,-1.0707026521364849,-0.6049612363179525,-13.088608741760254,-9.904498100280762,-8.857335090637207,-10.616813977559408,65.0,84.0,274.0
