target,anchor,anchor_gene,context_n,background_n,context_mean_length,background_mean_length,length_A,background_meeting_context_rule
ERN1,O75460,ERN1,50,50,791.06,872.66,0.4188,1
ERN1,P11021,HSPA5,50,50,547.42,632.7,0.441,1
ERN1,Q15084,PDIA6,50,50,503.96,470.0,0.5698,2
ERN1,P61619,SEC61A1,50,50,471.7,534.9,0.4002,1
TP53,Q00987,MDM2,50,50,536.88,522.94,0.526,14
TP53,O15151,MDM4,50,50,502.1,520.72,0.5088,15
TP53,Q09472,EP300,50,50,1786.02,1732.04,0.5008,20
EGFR,P62993,GRB2,50,50,277.66,294.24,0.449,14
EGFR,P29353,SHC1,50,50,545.9,603.1,0.4048,17
EGFR,P22681,CBL,50,50,820.26,757.14,0.6014,14
BCL2,O43521,BCL2L11,50,50,253.38,255.88,0.4922,1
BCL2,Q92934,BAD,50,50,219.82,225.88,0.4778,7
BCL2,Q9BXH1,BBC3,50,50,261.2,261.1,0.5082,1
KEAP1,Q16236,NFE2L2,50,50,669.18,507.22,0.69,12
KEAP1,Q13618,CUL3,50,50,789.58,725.08,0.5684,18
KEAP1,Q13501,SQSTM1,50,50,506.9,468.7,0.5618,15
BRCA1,Q99728,BARD1,50,50,732.88,697.14,0.5452,9
BRCA1,Q86YC2,PALB2,50,50,891.62,1085.08,0.3986,14
BRCA1,Q9BX63,BRIP1,50,50,1007.4,1046.62,0.4642,12
KRAS,P04049,RAF1,50,50,643.86,615.7,0.5282,17
KRAS,P15056,BRAF,50,50,757.84,702.28,0.573,17
KRAS,P10398,ARAF,50,50,621.48,572.08,0.5688,18
CDK2,P20248,CCNA2,50,50,462.38,457.58,0.5182,13
CDK2,P24864,CCNE1,50,50,465.94,424.78,0.5564,18
CDK2,P46527,CDKN1B,50,50,260.16,245.48,0.5448,13
HIF1A,P27540,ARNT,50,50,638.9,731.3,0.4318,16
HIF1A,P40337,VHL,50,50,291.18,263.1,0.5842,11
HIF1A,Q09472,EP300,50,50,1917.38,1898.82,0.4388,12
CTNNB1,P12830,CDH1,50,50,726.56,661.76,0.6266,9
CTNNB1,P35221,CTNNA1,50,50,824.2,768.26,0.5622,18
CTNNB1,Q9NQB0,TCF7L2,50,50,654.14,599.16,0.5798,14
TNFRSF1A,P01375,TNF,50,50,333.6,272.3,0.6836,4
TNFRSF1A,P01374,LTA,50,50,210.34,270.68,0.2982,6
TNFRSF1A,Q15628,TRADD,50,50,347.94,396.22,0.397,9
BECN1,Q6ZNE5,ATG14,50,50,516.94,494.26,0.5416,1
BECN1,Q9P2Y5,UVRAG,50,50,653.82,659.56,0.5058,0
BECN1,P10415,BCL2,50,50,325.56,286.9,0.616,4
