target,partner_uniprot,model,candidate_set,class,replacement_query_mean_rank_percentile
ERN1,O75460,tuna_original,context,P,0.660650623885918
ERN1,P11021,tuna_original,context,P,0.5750891265597148
ERN1,Q15084,tuna_original,context,P,0.3852495543672014
ERN1,P61619,tuna_original,context,P,0.2791889483065954
ERN1,P13569,tuna_original,context,U,0.6682263814616755
ERN1,Q9NYK1,tuna_original,context,U,0.6365864527629234
ERN1,Q8TCJ2,tuna_original,context,U,0.285427807486631
ERN1,Q86YC3,tuna_original,context,U,0.7497771836007131
ERN1,Q8NCR0,tuna_original,context,U,0.4743761140819964
ERN1,P45844,tuna_original,context,U,0.6481729055258466
ERN1,O43909,tuna_original,context,U,0.5127005347593584
ERN1,Q96S52,tuna_original,context,U,0.31172014260249553
ERN1,Q5VV42,tuna_original,context,U,0.4079768270944742
ERN1,Q8NEN9,tuna_original,context,U,0.4899732620320856
ERN1,O95427,tuna_original,context,U,0.26270053475935834
ERN1,Q9NTJ5,tuna_original,context,U,0.44897504456327986
ERN1,Q9P246,tuna_original,context,U,0.5430035650623886
ERN1,Q96HA1,tuna_original,context,U,0.5590463458110517
ERN1,Q9HBI6,tuna_original,context,U,0.3901515151515151
ERN1,Q96KA5,tuna_original,context,U,0.31394830659536543
ERN1,Q13563,tuna_original,context,U,0.6544117647058824
ERN1,Q8IW70,tuna_original,context,U,0.5296345811051694
ERN1,Q9BSJ8,tuna_original,context,U,0.5216131907308378
ERN1,O00237,tuna_original,context,U,0.2961229946524064
ERN1,Q9UKV5,tuna_original,context,U,0.37901069518716574
ERN1,Q96MT1,tuna_original,context,U,0.32687165775401067
ERN1,Q8TED4,tuna_original,context,U,0.43337789661319076
ERN1,Q9BYH1,tuna_original,context,U,0.5692959001782533
ERN1,P27824,tuna_original,context,U,0.40619429590017825
ERN1,Q9H4D0,tuna_original,context,U,0.5612745098039217
ERN1,P22680,tuna_original,context,U,0.6405971479500892
ERN1,P16615,tuna_original,context,U,0.5113636363636364
ERN1,Q9NP80,tuna_original,context,U,0.47838680926916227
ERN1,Q96BA8,tuna_original,context,U,0.5461229946524064
ERN1,O43520,tuna_original,context,U,0.6245543672014261
ERN1,Q9HCP6,tuna_original,context,U,0.1860516934046346
ERN1,Q7Z2W7,tuna_original,context,U,0.4797237076648841
ERN1,Q9HDC5,tuna_original,context,U,0.5291889483065954
ERN1,Q9Y6N7,tuna_original,context,U,0.5773172905525846
ERN1,Q5T9L3,tuna_original,context,U,0.32508912655971484
ERN1,Q6P1M0,tuna_original,context,U,0.3268716577540107
ERN1,Q96AA3,tuna_original,context,U,0.26715686274509803
ERN1,Q15392,tuna_original,context,U,0.2448752228163993
ERN1,O14967,tuna_original,context,U,0.429812834224599
ERN1,Q14739,tuna_original,context,U,0.4066399286987522
ERN1,Q96CP6,tuna_original,context,U,0.5920231729055259
ERN1,Q7Z2K6,tuna_original,context,U,0.2511140819964349
ERN1,Q9Y6M5,tuna_original,context,U,0.4676916221033867
ERN1,Q75V66,tuna_original,context,U,0.4396167557932264
ERN1,Q9UL01,tuna_original,context,U,0.40040106951871657
ERN1,O95196,tuna_original,context,U,0.4627896613190732
ERN1,Q6PJF5,tuna_original,context,U,0.5483511586452764
ERN1,Q5HYA8,tuna_original,context,U,0.47482174688057044
ERN1,Q86XL3,tuna_original,context,U,0.5051247771836006
ERN1,Q8NBL1,tuna_original,context,U,0.2577985739750445
ERN1,Q8N6T7,tuna_original,context,U,0.5274064171122995
ERN1,Q6ZNE5,tuna_original,context,U,0.49621212121212127
ERN1,Q96QG7,tuna_original,context,U,0.7332887700534759
