U_stratum,anchor_positive_uniprot,class,development_exposed_positive,homomeric,low_plausibility_evidence_tier,original_tuna_prior_pair,panel_row,partner_gene,partner_sequence_length,partner_sequence_sha256,partner_uniprot,prior_train_development_pair,query_gene,query_sequence_length,query_sequence_sha256,query_uniprot,target_cohort,training_exposed_positive,ipin_baseline_score,ipin_optimized_score,tuna_original_score,tuna_retrained_seed20260803_score,tuna_retrained_seed20260817_score,tuna_retrained_seed20260831_score,tuna_retrained_score,ipin_baseline_rank,ipin_optimized_rank,tuna_retrained_rank,tuna_original_rank
,,P,False,False,,False,1,MDM2,491,77ed25650e717b3f610e42ef8e5c1c88d50e7485725032f8535448a0ca8b61b1,Q00987,False,TP53,393,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3,P04637,original_six,False,-2.060058116912842,-1.4277615745862324,0.6187607049942017,-7.005260944366455,-7.504804611206055,-2.935692310333252,-5.815252621968587,254.0,214.0,30.0,34.0
,,P,False,False,,False,2,MDM4,490,fb619a5b2a22bab98d1ec43db4cd85b129d53b99bbc0c2ca00a44fdd421828ab,O15151,False,TP53,393,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3,P04637,original_six,False,-1.8046123186747234,-0.8630164662996928,0.6424752473831177,-7.427194118499756,-7.337255001068115,-4.233578681945801,-6.332675933837891,201.0,147.0,58.0,21.0
,,P,False,False,,False,3,EP300,2414,b1145f7221920a6ebbaba4b030af3d5df9b1df69d37f2a656aa2640c37336aa4,Q09472,False,TP53,393,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3,P04637,original_six,False,-1.1178932785987854,-1.751328428586324,0.5492487549781799,-7.543209075927734,-8.774798393249512,-4.152007579803467,-6.823338349660237,89.0,270.0,96.0,102.0
context,Q00987,U,False,False,,False,4,ZNF778,729,74dbe770caa41497fa8e311b05862285fde6f1b0eb02799222bab7ef2594ac91,Q96MU6,False,TP53,393,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3,P04637,original_six,False,-1.3393566211064656,-0.8352528611818949,0.4267413318157196,-4.108340263366699,-8.094115257263184,-4.43091344833374,-5.544456322987874,118.0,142.0,24.0,272.0
context,Q00987,U,False,False,,False,5,ZNF583,569,0aaa672e84a8cf95e3d6fcdd0f05436591694cec4125a93911982f031260c1d8,Q96ND8,False,TP53,393,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3,P04637,original_six,False,-2.208198149998983,-1.4560106595357258,0.47782206535339355,-6.168807029724121,-8.725460052490234,-8.187189102172852,-7.693818728129069,286.0,223.0,172.0,193.0
context,Q00987,U,False,False,,False,6,KANSL3,904,00ba44afa9e1737b804035ac3984903d04e1952f12b64778c298c4c502719a66,Q9P2N6,False,TP53,393,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3,P04637,original_six,False,-1.6147239605585735,-1.5923518141110737,0.532172679901123,-9.169617652893066,-8.70186996459961,-8.540973663330078,-8.804153760274252,169.0,241.0,271.0,118.0
context,Q00987,U,False,False,,False,7,ZFP69,526,09f903109765649fb96d0d9926c8e74db276b262e8b32a448ebac4ec705370cc,Q49AA0,False,TP53,393,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3,P04637,original_six,False,-2.1624821027119956,-1.433234969774882,0.480307936668396,-5.927943706512451,-9.22495174407959,-8.776444435119629,-7.976446628570557,274.0,216.0,200.0,186.0
context,Q00987,U,False,False,,False,8,POLGARF,260,123ee6b088d727790323e2595c4e29b02e8927e0d1ee22de12dc439daa6d4932,A0A3B3IS91,False,TP53,393,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3,P04637,original_six,False,-2.001712203025818,-0.2611410816510518,0.3467950224876404,-6.264457702636719,-4.721953392028809,-4.462475776672363,-5.14962895711263,247.0,76.0,12.0,364.0
context,Q00987,U,False,False,,False,9,ACD,458,4bcc4a88ac93f688d2624aa643a6a6fa7bda0074c3016bb1c1a59fe27dbfb593,Q96AP0,False,TP53,393,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3,P04637,original_six,False,-1.5923023223876953,-0.7782028913497925,0.41255688667297363,-9.382479667663574,-9.41466999053955,-4.983993053436279,-7.927047570546468,159.0,136.0,193.0,287.0
context,Q00987,U,False,False,,False,10,PHF10,498,ae1c7c8170d1a999f61a082cc9888f7c4745a288edd75f29529ddda7a760d184,Q8WUB8,False,TP53,393,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3,P04637,original_six,False,-1.615253488222758,-1.2206742366154988,0.587523341178894,-6.915438175201416,-7.401712894439697,-5.8981032371521,-6.738418102264404,170.0,179.0,86.0,68.0
