U_stratum,anchor_positive_uniprot,class,development_exposed_positive,homomeric,low_plausibility_evidence_tier,original_tuna_prior_pair,panel_row,partner_gene,partner_sequence_length,partner_sequence_sha256,partner_uniprot,prior_train_development_pair,query_gene,query_sequence_length,query_sequence_sha256,query_uniprot,target_cohort,training_exposed_positive,ipin_baseline_score,ipin_optimized_score,tuna_original_score,tuna_retrained_seed20260803_score,tuna_retrained_seed20260817_score,tuna_retrained_seed20260831_score,tuna_retrained_score,ipin_baseline_rank,ipin_optimized_rank,tuna_retrained_rank,tuna_original_rank
,,P,False,False,,False,1,BARD1,777,b18dec6bdbf2816e497af46d99ec2e0dc350ad21a307a8bb884b1ba54b9da7b2,Q99728,False,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,original_six,False,-0.5525114337603251,-0.03799167275428772,0.6228072643280029,-5.73940372467041,-5.7537407875061035,-5.308932781219482,-5.600692431131999,17.0,16.0,27.0,8.0
,,P,False,False,,False,2,PALB2,1186,848e1c837f05f81497688db39709751dda67d0c3c1044aad526d4341d64e5f6e,Q86YC2,False,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,original_six,False,-1.759886344273885,-0.563131054242452,0.5864367485046387,-5.260611057281494,-4.507133960723877,-2.8872904777526855,-4.2183451652526855,151.0,39.0,4.0,32.0
,,P,False,False,,False,3,BRIP1,1249,d496560feb8f0af54a38e759a5504311d6933453003afeaccccbf33240fe7079,Q9BX63,False,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,original_six,False,-1.826077143351237,-1.0274316569169362,0.6213306188583374,-4.779009819030762,-5.953915596008301,-6.699885845184326,-5.81093708674113,165.0,85.0,35.0,10.0
context,Q99728,U,False,False,,False,4,DCLK3,648,c4fd525d2e7e71194349aa5f6636f6a9ddba8470c53d5c2f86d936a694a075c2,Q9C098,False,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,original_six,False,-2.206730922063192,-3.1370091438293457,0.48618844151496887,-7.975478649139404,-8.00963020324707,-8.068958282470703,-8.018022378285727,222.0,369.0,217.0,126.0
context,Q99728,U,False,False,,False,5,RAP1GDS1,607,f6be30a4ec50bf1721dffa0a6dab34ec3800713df037a0dfcb214a7cfc4e2540,P52306,False,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,original_six,False,-1.7715717951456706,-0.6974834601084391,0.45833101868629456,-5.366238594055176,-9.365340232849121,-5.637616157531738,-6.789731661478679,155.0,50.0,99.0,150.0
context,Q99728,U,False,False,,False,6,IKZF4,585,36640543b4ad7492fdc19abbc3a765035ca1ff4cc0581a5389e2c3c9252e4012,Q9H2S9,False,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,original_six,False,-1.460547924041748,-0.9278711477915446,0.46448951959609985,-6.141411304473877,-6.052767753601074,-6.089245319366455,-6.094474792480469,103.0,75.0,49.0,145.0
context,Q99728,U,False,False,,False,7,ZNF639,485,c64c393e6bf2f05a09f4e14744ae1ca1c35b2b3a39d4f9df5e1b30679150a7f0,Q9UID6,False,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,original_six,False,0.752197782198588,0.507180412610372,0.5799671411514282,-6.142858505249023,-5.321937561035156,-5.999892711639404,-5.821562925974528,1.0,5.0,37.0,41.0
context,Q99728,U,False,False,,False,8,DEPDC1,811,f267d3a9e03b0ed7e443f5e645d9e5118cef9184aff0a475ed2f27fdc08a8a69,Q5TB30,False,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,original_six,False,-1.9204525152842205,-1.6507344643274944,0.3644651770591736,-6.118139743804932,-7.3582940101623535,-6.787799835205078,-6.754744529724121,175.0,164.0,96.0,245.0
context,Q99728,U,False,False,,False,9,IRF9,393,fe68467d8f6eee4e47bb1aa02015ac87d9f23fd5b0459270244e2397c7d0f34d,Q00978,False,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,original_six,False,-2.252784490585327,-1.2944082021713257,0.4804145097732544,-5.4450273513793945,-7.1573872566223145,-6.4648847579956055,-6.3557664553324384,226.0,118.0,65.0,134.0
context,Q99728,U,False,False,,False,10,HASPIN,798,156a54656cbd089f3fa5dc90c7d33f1a96e549d5a7065e429a557db3a64d9e56,Q8TF76,False,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,original_six,False,-1.0490223566691081,-2.158926844596863,0.529852569103241,-6.573652267456055,-8.929523468017578,-8.867169380187988,-8.123448371887207,46.0,238.0,229.0,83.0
context,Q99728,U,False,False,,False,11,TOP1,765,fa554cc87a32d58ec860310b47bd8ba0682f5a1f4dee892685283f4289b12e2e,P11387,False,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,original_six,False,-2.6919902165730796,-1.8600611686706543,0.4724653959274292,-8.158638954162598,-11.011791229248047,-7.710355281829834,-8.960261821746826,317.0,204.0,303.0,141.0
context,Q99728,U,False,False,,False,12,STAT5B,787,3022e4ecd19d9622d20a4bcf5a82abbbbc2392dea73200afda92048e136c000f,P51692,False,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,original_six,False,-1.0983614524205525,-0.9975699583689371,0.36045482754707336,-4.438640117645264,-8.094075202941895,-5.244588375091553,-5.92576789855957,54.0,81.0,39.0,247.0
context,Q99728,U,False,False,,False,13,FBXW7,707,bfdc26fac48952f19f47f110a28251b1f7ec7812bb7a73933c72ddc40ef840ff,Q969H0,False,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,original_six,False,-2.01667857170105,-1.4913420677185059,0.37604188919067383,-6.128274917602539,-7.749495029449463,-5.015466690063477,-6.297745545705159,193.0,142.0,61.0,230.0
context,Q99728,U,False,False,,False,14,INTS12,462,cdb8c037136728cb114777945a61a218d274971fe7deba65782a4eec1644f8ad,Q96CB8,False,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,original_six,False,-2.85406231880188,-2.3426138162612915,0.5307527780532837,-7.750985622406006,-5.128132343292236,-8.475314140319824,-7.1181440353393555,343.0,263.0,121.0,81.0
context,Q99728,U,False,False,,False,15,DDX56,547,d4bf3f09a7472b079ca324f70477a2e050973a019f234fc848c78b4d8c1dc847,Q9NY93,False,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,original_six,False,-2.638696273167928,-2.4362797339757285,0.46812134981155396,-9.12983512878418,-10.451624870300293,-8.682857513427734,-9.421439170837402,312.0,280.0,347.0,144.0
context,Q99728,U,False,False,,False,16,SFMBT1,866,e8fd18bde8ab47cde0df23a9735039f87e9b1b583499ea1addf54378408bdb9e,Q9UHJ3,False,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,original_six,False,-0.6483060518900553,0.07688965400060017,0.555137574672699,-5.350533485412598,-7.637200355529785,-4.867269992828369,-5.951667944590251,20.0,14.0,42.0,62.0
context,Q99728,U,False,False,,False,17,ARRB1,418,b8c57f388780bdd610e940daed9376303e48088269cff487092179a7eb33a92b,P49407,False,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,original_six,False,-0.8876512249310812,0.6013323962688446,0.3260878622531891,-10.008965492248535,-9.438239097595215,-8.03598690032959,-9.16106383005778,32.0,4.0,320.0,278.0
context,Q99728,U,False,False,,False,18,GTF3C5,519,150d109a27949d3dba27b6584cec0b0a0699018e047f288cba6915b9022e8bd3,Q9Y5Q8,False,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,original_six,False,-1.9418093363444011,-1.900145411491394,0.5633675456047058,-9.521970748901367,-7.74149751663208,-11.78419017791748,-9.682552814483643,180.0,209.0,362.0,55.0
context,Q99728,U,False,False,,False,19,ACSS2,701,4b3334bba830c2f7d886e2ec16e1d2a9270108ea40b962522c22590594be467c,Q9NR19,False,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,original_six,False,-2.0388625462849936,-2.4756091833114624,0.3605690598487854,-10.649078369140625,-10.503703117370605,-8.897295951843262,-10.016692479451498,194.0,288.0,385.0,246.0
context,Q99728,U,False,False,,False,20,BCL9L,1499,d18ef2ec12184986deb86ad1cc45fb524eadcc668d16de46cad51aa3d7b2af5d,Q86UU0,False,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,original_six,False,-3.7260104020436606,-2.1578450202941895,0.4096596837043762,-7.819766044616699,-6.727519512176514,-5.600370407104492,-6.715885321299235,425.0,237.0,95.0,194.0
context,Q99728,U,False,False,,False,21,SAXO6,714,91a0be4d01423918e4f32e788eea041b2574c575a6c74b5bba0a7cb98a531395,Q8TC05,False,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,original_six,False,-1.1977036794026692,-1.6324427127838135,0.37640079855918884,-7.066277027130127,-6.035702228546143,-6.211650848388672,-6.4378767013549805,66.0,159.0,69.0,228.0
context,Q99728,U,False,False,,False,22,ZNF382,550,9c7afc854d29717c32e2ac1b567d70687d7e0e903525b0aedec03447f40cf16d,Q96SR6,False,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,original_six,False,-0.4102693696816762,-1.2087046305338542,0.5785250067710876,-5.200343608856201,-5.306687355041504,-4.417609214782715,-4.97488005956014,14.0,111.0,17.0,43.0
context,Q99728,U,False,False,,False,23,MED23,1368,9c7cd4e1000690e7e9384ff37b6fdc3f9d755ea5d58e0d10b204cab5a0cde040,Q9ULK4,False,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,original_six,False,-2.5923930009206138,-1.7086170117060344,0.3978976011276245,-7.821845531463623,-6.311875343322754,-5.768879413604736,-6.634200096130371,304.0,178.0,90.0,201.0
context,Q99728,U,False,False,,False,24,ZIC5,639,bb779aa460cf9d62880f98f605cc92f77174506f0af229d32382b527142bead0,Q96T25,False,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,original_six,False,-4.043086051940918,-1.9323173761367798,0.45580223202705383,-9.579554557800293,-12.649365425109863,-8.132884979248047,-10.120601654052734,443.0,215.0,390.0,152.0
context,Q99728,U,False,False,,False,25,BAHD1,780,0eea02061d8fd1302f402d0772113c1c510d7eec25721fd3187a5031cacffcc8,Q8TBE0,False,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,original_six,False,-2.88114341100057,-2.6791231632232666,0.519143283367157,-8.361777305603027,-9.01735782623291,-8.40407657623291,-8.594403902689615,346.0,320.0,275.0,97.0
context,Q99728,U,False,False,,False,26,MAK,623,52167ce29e8003d2543358b7d7a3a6d3c74e749babf6bb25fbc13b288d7d562c,P20794,False,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,original_six,False,-1.0832196474075317,-0.5748468637466431,0.5549841523170471,-5.246679782867432,-8.659648895263672,-7.851472854614258,-7.25260051091512,51.0,40.0,134.0,63.0
context,Q99728,U,False,False,,False,27,FOXI3,420,f0b42ed6b9f6b39e90416fc95e54cd2e1fd8e6cfb15472392e35ddb5f10ee026,A8MTJ6,False,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,original_six,False,-2.739414850870768,-2.103700121243795,0.4236071705818176,-9.24173355102539,-8.660082817077637,-11.101705551147461,-9.667840639750162,323.0,232.0,361.0,181.0
context,Q99728,U,False,False,,False,28,PHC3,983,7a7d96aa7ad108604cd7af7365bde276560cd930eda885270c0e854cff7280eb,Q8NDX5,False,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,original_six,False,-2.131362199783325,-0.765136294066906,0.5113379955291748,-6.879700660705566,-7.006062984466553,-6.616650581359863,-6.834138075510661,209.0,57.0,103.0,102.0
context,Q99728,U,False,False,,False,29,ZNF385D,395,cfbef40aade02728221097e8e084a69d311bb45fc27d49d3ab7bfc26201be779,Q9H6B1,False,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,original_six,False,-2.1383652687072754,-2.427126328150431,0.5379951000213623,-7.038498401641846,-5.58540153503418,-8.00368595123291,-6.8758619626363116,210.0,275.0,105.0,77.0
context,Q99728,U,False,False,,False,30,PHF8,1060,d66081596c80ed050012bed72fc55fe9e306d7d9c6b5bb7a126456a1aa4ac043,Q9UPP1,False,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,original_six,False,-1.8566382726033528,-1.7714473803838093,0.5513404607772827,-5.677243232727051,-9.21938705444336,-8.9807710647583,-7.959133783976237,168.0,188.0,212.0,67.0
context,Q99728,U,False,False,,False,31,NUAK1,661,3e47834d60d364507fbc198d6ad2e889e466bf1aad1c362ceb8b8ea590f033af,O60285,False,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,original_six,False,-1.5326552788416545,-2.7994467417399087,0.3149667978286743,-8.479077339172363,-7.871549129486084,-8.027966499328613,-8.126197655995687,116.0,330.0,230.0,288.0
context,Q99728,U,False,False,,False,32,ADAR,1226,4c6227d55a2a3c4faac5fee8b9211f1cb694554acbcbaaf1b25886b4a4120f19,P55265,False,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,original_six,False,-1.966630220413208,-2.2929906050364175,0.4868869185447693,-8.460787773132324,-9.595726013183594,-6.73071813583374,-8.262410640716553,182.0,259.0,244.0,125.0
context,Q99728,U,False,False,,False,33,ZNF18,549,36db86ef92ada45b5a91afee1a0cf96643f3983661081d0bad4118ddc2289bed,P17022,False,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,original_six,False,-1.5718518495559692,-0.6911813616752625,0.5695962309837341,-4.472529411315918,-6.747877597808838,-7.043075084686279,-6.087827364603679,120.0,49.0,48.0,50.0
context,Q99728,U,False,False,,False,34,CSTF1,431,41a1a69c5826aa17e8ab1f2cba897d7b56bfbef4c9b9f733d624610ae6476701,Q05048,False,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,original_six,False,-1.6234676440556843,-0.09514339764912923,0.5282060503959656,-6.142054080963135,-8.193222999572754,-5.4676289558410645,-6.600968678792317,127.0,18.0,85.0,85.0
context,Q99728,U,False,False,,False,35,DOT1L,1537,fee687778a3f8e1209fc64cb4c55875b5a9f68b1e5346d315d4a2accf8ef313c,Q8TEK3,False,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,original_six,False,-2.313418388366699,-2.226997494697571,0.58670973777771,-6.5579376220703125,-8.000385284423828,-7.147875785827637,-7.235399564107259,236.0,250.0,132.0,31.0
context,Q99728,U,False,False,,False,36,LRR1,414,fb29de6475c62029fe6a792723d58ea9620b569dc5d3da978452b639cfc74399,Q96L50,False,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,original_six,False,-1.3819305896759033,-0.23794247706731161,0.5980110168457031,-8.771793365478516,-8.991655349731445,-8.775541305541992,-8.846330006917318,83.0,24.0,293.0,19.0
context,Q99728,U,False,False,,False,37,ZNF687,1237,d6bf164a5db6060f86ad53c333eb40719a1d208a9faaa0c0cf5ecfcf5fef284b,Q8N1G0,False,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,original_six,False,-2.5373826821645102,-1.6172504822413127,0.4907846450805664,-6.370674133300781,-6.597362041473389,-6.802435398101807,-6.590157190958659,291.0,155.0,82.0,121.0
context,Q99728,U,False,False,,False,38,WTIP,430,e0239b8af92a4693a4117d647e141ebd324aa99ea382bdd25740aaba755f609d,A6NIX2,False,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,original_six,False,-1.412862737973531,-0.7054069836934408,0.3709423840045929,-6.475452899932861,-9.076051712036133,-5.241272926330566,-6.9309258460998535,93.0,51.0,112.0,235.0
