query_gene,partner_gene,partner_uniprot,model,score,rank_min,rank_max,rank_mid,panel_size,top5_fractional_credit,top10_fractional_credit,top20_fractional_credit,development_exposed_positive,training_exposed_positive,prior_train_development_pair,homomeric
ERN1,ERN1,O75460,ipin_baseline,-1.01774263381958,18,18,18.0,404,0.0,0.0,1.0,False,False,False,True
ERN1,HSPA5,P11021,ipin_baseline,-3.1607515017191568,348,348,348.0,404,0.0,0.0,0.0,False,False,False,False
ERN1,PDIA6,Q15084,ipin_baseline,-2.2562062740325928,170,170,170.0,404,0.0,0.0,0.0,False,False,False,False
ERN1,SEC61A1,P61619,ipin_baseline,-2.959925651550293,314,314,314.0,404,0.0,0.0,0.0,False,False,False,False
ERN1,ERN1,O75460,ipin_optimized,-0.9729743003845215,14,14,14.0,404,0.0,0.0,1.0,False,False,False,True
ERN1,HSPA5,P11021,ipin_optimized,-3.236354192097982,259,259,259.0,404,0.0,0.0,0.0,False,False,False,False
ERN1,PDIA6,Q15084,ipin_optimized,-3.378861904144287,280,280,280.0,404,0.0,0.0,0.0,False,False,False,False
ERN1,SEC61A1,P61619,ipin_optimized,-3.186006704966227,249,249,249.0,404,0.0,0.0,0.0,False,False,False,False
ERN1,ERN1,O75460,tuna_retrained,-3.6701322396596274,1,1,1.0,404,1.0,1.0,1.0,False,False,False,True
ERN1,HSPA5,P11021,tuna_retrained,-11.230369567871094,325,325,325.0,404,0.0,0.0,0.0,False,False,False,False
ERN1,PDIA6,Q15084,tuna_retrained,-8.74140707651774,123,123,123.0,404,0.0,0.0,0.0,False,False,False,False
ERN1,SEC61A1,P61619,tuna_retrained,-8.616581281026205,109,109,109.0,404,0.0,0.0,0.0,False,False,False,False
TP53,MDM2,Q00987,ipin_baseline,-2.060058116912842,201,201,201.0,303,0.0,0.0,0.0,False,False,False,False
TP53,MDM4,O15151,ipin_baseline,-1.8046123186747234,165,165,165.0,303,0.0,0.0,0.0,False,False,False,False
TP53,EP300,Q09472,ipin_baseline,-1.1178932785987854,76,76,76.0,303,0.0,0.0,0.0,False,False,False,False
TP53,MDM2,Q00987,ipin_optimized,-1.4277615745862324,163,163,163.0,303,0.0,0.0,0.0,False,False,False,False
TP53,MDM4,O15151,ipin_optimized,-0.8630164662996928,113,113,113.0,303,0.0,0.0,0.0,False,False,False,False
TP53,EP300,Q09472,ipin_optimized,-1.751328428586324,200,200,200.0,303,0.0,0.0,0.0,False,False,False,False
TP53,MDM2,Q00987,tuna_retrained,-5.815252621968587,28,28,28.0,303,0.0,0.0,0.0,False,False,False,False
TP53,MDM4,O15151,tuna_retrained,-6.332675933837891,52,52,52.0,303,0.0,0.0,0.0,False,False,False,False
TP53,EP300,Q09472,tuna_retrained,-6.823338031768799,84,84,84.0,303,0.0,0.0,0.0,False,False,False,False
EGFR,GRB2,P62993,ipin_baseline,-1.6319588820139568,76,76,76.0,303,0.0,0.0,0.0,False,False,False,False
EGFR,SHC1,P29353,ipin_baseline,-2.3526440461476645,190,190,190.0,303,0.0,0.0,0.0,False,False,False,False
EGFR,CBL,P22681,ipin_baseline,-1.5951319535573323,67,67,67.0,303,0.0,0.0,0.0,False,False,False,False
EGFR,GRB2,P62993,ipin_optimized,-1.8957593441009521,93,93,93.0,303,0.0,0.0,0.0,False,False,False,False
EGFR,SHC1,P29353,ipin_optimized,-2.27628763516744,127,127,127.0,303,0.0,0.0,0.0,False,False,False,False
EGFR,CBL,P22681,ipin_optimized,-2.13212513923645,116,116,116.0,303,0.0,0.0,0.0,False,False,False,False
EGFR,GRB2,P62993,tuna_retrained,-7.295586585998535,20,20,20.0,303,0.0,0.0,1.0,False,False,False,False
EGFR,SHC1,P29353,tuna_retrained,-8.561941464742025,65,65,65.0,303,0.0,0.0,0.0,False,False,False,False
EGFR,CBL,P22681,tuna_retrained,-10.382659276326498,165,165,165.0,303,0.0,0.0,0.0,False,False,False,False
BCL2,BCL2L11,O43521,ipin_baseline,-0.9792822400728861,12,12,12.0,303,0.0,0.0,1.0,False,False,False,False
BCL2,BAD,Q92934,ipin_baseline,-1.266326904296875,27,27,27.0,303,0.0,0.0,0.0,False,False,False,False
BCL2,BBC3,Q9BXH1,ipin_baseline,-0.21183940892418227,3,3,3.0,303,1.0,1.0,1.0,False,False,False,False
BCL2,BCL2L11,O43521,ipin_optimized,0.7513763507207235,7,7,7.0,303,0.0,1.0,1.0,False,False,False,False
BCL2,BAD,Q92934,ipin_optimized,0.3422282934188843,15,15,15.0,303,0.0,0.0,1.0,False,False,False,False
BCL2,BBC3,Q9BXH1,ipin_optimized,0.5386053224404653,9,9,9.0,303,0.0,1.0,1.0,False,False,False,False
BCL2,BCL2L11,O43521,tuna_retrained,-3.922259251276652,18,18,18.0,303,0.0,0.0,1.0,False,False,False,False
BCL2,BAD,Q92934,tuna_retrained,-4.508002281188965,25,25,25.0,303,0.0,0.0,0.0,False,False,False,False
BCL2,BBC3,Q9BXH1,tuna_retrained,-6.492899258931478,90,90,90.0,303,0.0,0.0,0.0,False,False,False,False
KEAP1,NFE2L2,Q16236,ipin_baseline,-1.4846925735473633,177,177,177.0,303,0.0,0.0,0.0,False,False,False,False
KEAP1,CUL3,Q13618,ipin_baseline,-1.6863672733306885,203,203,203.0,303,0.0,0.0,0.0,False,False,False,False
KEAP1,SQSTM1,Q13501,ipin_baseline,0.25287104149659473,7,7,7.0,303,0.0,1.0,1.0,True,False,True,False
KEAP1,NFE2L2,Q16236,ipin_optimized,-0.9663161834081014,221,221,221.0,303,0.0,0.0,0.0,False,False,False,False
KEAP1,CUL3,Q13618,ipin_optimized,0.1590913931528727,106,106,106.0,303,0.0,0.0,0.0,False,False,False,False
KEAP1,SQSTM1,Q13501,ipin_optimized,2.1253724098205566,6,6,6.0,303,0.0,1.0,1.0,True,False,True,False
KEAP1,NFE2L2,Q16236,tuna_retrained,-6.935651938120524,218,218,218.0,303,0.0,0.0,0.0,False,False,False,False
KEAP1,CUL3,Q13618,tuna_retrained,-6.580003579457601,187,187,187.0,303,0.0,0.0,0.0,False,False,False,False
