target,partner_gene,partner_uniprot,model,candidate_set,P,U,panel_size,P_vs_U_concordance,average_precision,first_positive_rank_min,first_positive_rank_max,first_positive_rank_expected,reciprocal_rank,recovered_P_at_5,recall_at_5,known_positive_precision_at_5,EF_at_5,NDCG_at_5,target_success_at_5,recovered_P_at_10,recall_at_10,known_positive_precision_at_10,EF_at_10,NDCG_at_10,target_success_at_10,recovered_P_at_20,recall_at_20,known_positive_precision_at_20,EF_at_20,NDCG_at_20,target_success_at_20
ERN1,ERN1,O75460,ipin_baseline,context,1,50,51,0.94,0.25,4,4,4.0,0.25,1.0,1.0,0.2,10.200000000000001,0.43067655807339306,1.0,1.0,1.0,0.1,5.1000000000000005,0.43067655807339306,1.0,1.0,1.0,0.05,2.5500000000000003,0.43067655807339306,1.0
ERN1,HSPA5,P11021,ipin_baseline,context,1,50,51,0.1,0.021739130434782608,46,46,46.0,0.021739130434782608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,PDIA6,Q15084,ipin_baseline,context,1,50,51,0.54,0.041666666666666664,24,24,24.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,SEC61A1,P61619,ipin_baseline,context,1,50,51,0.24,0.02564102564102564,39,39,39.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,ERN1,O75460,ipin_baseline,background,1,50,51,1.0,1.0,1,1,1.0,1.0,1.0,1.0,0.2,10.200000000000001,1.0,1.0,1.0,1.0,0.1,5.1000000000000005,1.0,1.0,1.0,1.0,0.05,2.5500000000000003,1.0,1.0
ERN1,HSPA5,P11021,ipin_baseline,background,1,50,51,0.16,0.023255813953488372,43,43,43.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,PDIA6,Q15084,ipin_baseline,background,1,50,51,0.68,0.058823529411764705,17,17,17.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.05,2.5500000000000003,0.23981246656813146,1.0
ERN1,SEC61A1,P61619,ipin_baseline,background,1,50,51,0.22,0.025,40,40,40.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,ERN1,O75460,ipin_baseline,low_plausibility,1,50,51,1.0,1.0,1,1,1.0,1.0,1.0,1.0,0.2,10.200000000000001,1.0,1.0,1.0,1.0,0.1,5.1000000000000005,1.0,1.0,1.0,1.0,0.05,2.5500000000000003,1.0,1.0
ERN1,HSPA5,P11021,ipin_baseline,low_plausibility,1,50,51,0.14,0.022727272727272728,44,44,44.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
