species,target_id,subset,candidate_set,model,target_similarity_bin,P,U,panel_size,P_vs_U_concordance,average_precision,first_positive_rank_min,first_positive_rank_max,first_positive_rank_expected,reciprocal_rank,recovered_P_at_5,recall_at_5,known_positive_precision_at_5,EF_at_5,NDCG_at_5,target_success_at_5,recovered_P_at_10,recall_at_10,known_positive_precision_at_10,EF_at_10,NDCG_at_10,target_success_at_10,recovered_P_at_20,recall_at_20,known_positive_precision_at_20,EF_at_20,NDCG_at_20,target_success_at_20
mouse,mouse:P22725,all,background,ipin_baseline,30_to_50pct,2,100,102,0.745,0.06285178236397748,13,13,13.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.05,2.5500000000000003,0.16104282508920814,1.0
mouse,mouse:P22725,all,background,ipin_optimized,30_to_50pct,2,100,102,0.695,0.048538011695906436,19,19,19.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.05,2.5500000000000003,0.14186890186599416,1.0
mouse,mouse:P22725,all,background,tuna_retrained,30_to_50pct,2,100,102,0.78,0.12380952380952381,5,5,5.0,0.2,1.0,0.5,0.2,10.200000000000001,0.23719771276929622,1.0,1.0,0.5,0.1,5.1000000000000005,0.23719771276929622,1.0,1.0,0.5,0.05,2.5500000000000003,0.23719771276929622,1.0
mouse,mouse:P22725,all,background,ipin_tuna_31k,30_to_50pct,2,100,102,0.925,0.3125,2,2,2.0,0.5,1.0,0.5,0.2,10.200000000000001,0.38685280723454163,1.0,1.0,0.5,0.1,5.1000000000000005,0.38685280723454163,1.0,2.0,1.0,0.1,5.1000000000000005,0.5368596003428795,1.0
mouse,mouse:P22725,all,matched,ipin_baseline,30_to_50pct,2,100,102,0.65,0.05266343825665859,14,14,14.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.05,2.5500000000000003,0.15693994437792994,1.0
mouse,mouse:P22725,all,matched,ipin_optimized,30_to_50pct,2,100,102,0.575,0.035873015873015876,25,25,25.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mouse,mouse:P22725,all,matched,tuna_retrained,30_to_50pct,2,100,102,0.79,0.09774436090225563,7,7,7.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.1,5.1000000000000005,0.20438239758848611,1.0,1.0,0.5,0.05,2.5500000000000003,0.20438239758848611,1.0
mouse,mouse:P22725,all,matched,ipin_tuna_31k,30_to_50pct,2,100,102,0.865,0.14,5,5,5.0,0.2,1.0,0.5,0.2,10.200000000000001,0.23719771276929622,1.0,1.0,0.5,0.1,5.1000000000000005,0.23719771276929622,1.0,1.0,0.5,0.05,2.5500000000000003,0.23719771276929622,1.0
mouse,mouse:P22725,all,all_U,ipin_baseline,30_to_50pct,2,200,202,0.6975,0.02943485086342229,26,26,26.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mouse,mouse:P22725,all,all_U,ipin_optimized,30_to_50pct,2,200,202,0.635,0.021061869240895127,43,43,43.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mouse,mouse:P22725,all,all_U,tuna_retrained,30_to_50pct,2,200,202,0.785,0.05827505827505827,11,11,11.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.05,5.05,0.1710330840677181,1.0
mouse,mouse:P22725,all,all_U,ipin_tuna_31k,30_to_50pct,2,200,202,0.895,0.10897435897435898,6,6,6.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.1,10.1,0.21840743681816419,1.0,1.0,0.5,0.05,5.05,0.21840743681816419,1.0
mouse,mouse:P22725,no_exact_TRAIN_DEV_endpoint,background,ipin_baseline,30_to_50pct,2,98,100,0.75,0.06666666666666667,12,12,12.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.05,2.5,0.16569576576522954,1.0
mouse,mouse:P22725,no_exact_TRAIN_DEV_endpoint,background,ipin_optimized,30_to_50pct,2,98,100,0.6938775510204082,0.04904306220095694,19,19,19.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.05,2.5,0.14186890186599416,1.0
mouse,mouse:P22725,no_exact_TRAIN_DEV_endpoint,background,tuna_retrained,30_to_50pct,2,98,100,0.7755102040816326,0.12380952380952381,5,5,5.0,0.2,1.0,0.5,0.2,10.0,0.23719771276929622,1.0,1.0,0.5,0.1,5.0,0.23719771276929622,1.0,1.0,0.5,0.05,2.5,0.23719771276929622,1.0
